factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,479,477,478,4729,6163,7.8,15.5,23.3,79.0,83.0
father_w,キズナ,31,23,23,151,228,13.6,23.7,33.8,92.0,94.0
father_w,ドレフォン,21,8,17,108,154,13.6,18.8,29.9,110.0,85.0
father_w,ホッコータルマエ,16,11,12,130,169,9.5,16.0,23.1,87.0,80.0
father_w,シニスターミニスター,16,15,13,111,155,10.3,20.0,28.4,88.0,92.0
father_w,マジェスティックウォリアー,15,9,14,133,171,8.8,14.0,22.2,77.0,76.0
father_w,ルーラーシップ,13,10,8,146,177,7.3,13.0,17.5,88.0,74.0
father_w,ハーツクライ,13,13,14,88,128,10.2,20.3,31.2,89.0,99.0
father_w,ドゥラメンテ,12,20,24,106,162,7.4,19.8,34.6,42.0,86.0
father_w,ロードカナロア,11,8,10,106,135,8.1,14.1,21.5,86.0,85.0
father_w,キングカメハメハ,11,9,6,59,85,12.9,23.5,30.6,108.0,98.0
jockey_w,松山弘平,39,20,24,133,216,18.1,27.3,38.4,86.0,81.0
jockey_w,鮫島克駿,23,19,14,98,154,14.9,27.3,36.4,108.0,104.0
jockey_w,坂井瑠星,23,18,19,93,153,15.0,26.8,39.2,79.0,87.0
jockey_w,川田将雅,22,24,14,45,105,21.0,43.8,57.1,64.0,87.0
jockey_w,西村淳也,20,10,10,101,141,14.2,21.3,28.4,99.0,84.0
jockey_w,団野大成,19,21,11,108,159,11.9,25.2,32.1,98.0,100.0
jockey_w,幸英明,17,14,26,164,221,7.7,14.0,25.8,73.0,82.0
jockey_w,岩田望来,17,19,12,116,164,10.4,22.0,29.3,66.0,75.0
jockey_w,福永祐一,16,6,8,38,68,23.5,32.4,44.1,90.0,78.0
jockey_w,武豊,13,13,13,44,83,15.7,31.3,47.0,67.0,87.0
frame,1枠,51,46,45,464,606,8.4,16.0,23.4,85.0,85.0
frame,2枠,45,57,45,503,650,6.9,15.7,22.6,68.0,79.0
frame,3枠,53,45,55,543,696,7.6,14.1,22.0,84.0,83.0
frame,4枠,61,50,60,575,746,8.2,14.9,22.9,88.0,80.0
frame,5枠,69,61,55,614,799,8.6,16.3,23.2,89.0,87.0
frame,6枠,65,78,73,635,851,7.6,16.8,25.4,74.0,87.0
frame,7枠,57,71,69,701,898,6.3,14.3,21.9,64.0,76.0
frame,8枠,78,69,76,694,917,8.5,16.0,24.3,84.0,88.0
averunningstyle,逃げ,19,15,23,140,197,9.6,17.3,28.9,65.0,72.0
averunningstyle,先行,226,206,184,1326,1942,11.6,22.2,31.7,78.0,83.0
averunningstyle,差し,55,55,39,247,396,13.9,27.8,37.6,90.0,90.0
averunningstyle,追込,5,3,5,13,26,19.2,30.8,50.0,114.0,115.0
distance,500m以上延長,5,7,2,185,199,2.5,6.0,7.0,89.0,66.0
distance,300m-400m延長,14,17,19,292,342,4.1,9.1,14.6,85.0,86.0
distance,100m-200m延長,80,84,82,838,1084,7.4,15.1,22.7,82.0,85.0
distance,距離変更なし,286,270,272,2324,3152,9.1,17.6,26.3,78.0,84.0
distance,100m-200m短縮,43,46,52,518,659,6.5,13.5,21.4,77.0,81.0
distance,300m-400m短縮,6,14,6,112,138,4.3,14.5,18.8,63.0,87.0
distance,500m以上短縮,3,2,7,70,82,3.7,6.1,14.6,73.0,79.0
surface,ダ→ダ,388,396,391,3650,4825,8.0,16.2,24.4,78.0,83.0
surface,芝→ダ,49,44,48,681,822,6.0,11.3,17.2,85.0,84.0
stable_trainer,美浦,38,67,60,899,1064,3.6,9.9,15.5,63.0,77.0
stable_trainer,栗東,441,410,418,3827,5096,8.7,16.7,24.9,81.0,84.0
