factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,238,239,237,2409,3123,7.6,15.3,22.9,79.0,82.0
father_w,ロードカナロア,25,13,21,145,204,12.3,18.6,28.9,86.0,81.0
father_w,キズナ,19,9,14,102,144,13.2,19.4,29.2,112.0,88.0
father_w,エピファネイア,17,18,14,128,177,9.6,19.8,27.7,76.0,77.0
father_w,モーリス,17,16,10,108,151,11.3,21.9,28.5,93.0,87.0
father_w,ディープインパクト,13,11,9,97,130,10.0,18.5,25.4,69.0,72.0
father_w,ダイワメジャー,8,9,7,70,94,8.5,18.1,25.5,75.0,81.0
father_w,ルーラーシップ,8,6,3,75,92,8.7,15.2,18.5,108.0,81.0
father_w,ドゥラメンテ,7,16,8,71,102,6.9,22.5,30.4,56.0,88.0
father_w,ヴィクトワールピサ,6,2,1,30,39,15.4,20.5,23.1,241.0,87.0
father_w,ジャスタウェイ,5,2,5,45,57,8.8,12.3,21.1,109.0,79.0
jockey_w,松山弘平,22,15,10,82,129,17.1,28.7,36.4,105.0,85.0
jockey_w,川田将雅,19,14,12,40,85,22.4,38.8,52.9,69.0,79.0
jockey_w,岩田望来,14,16,16,52,98,14.3,30.6,46.9,83.0,106.0
jockey_w,西村淳也,14,9,5,46,74,18.9,31.1,37.8,107.0,85.0
jockey_w,福永祐一,14,8,9,25,56,25.0,39.3,55.4,100.0,84.0
jockey_w,坂井瑠星,11,10,8,65,94,11.7,22.3,30.9,94.0,92.0
jockey_w,幸英明,7,4,6,91,108,6.5,10.2,15.7,97.0,77.0
jockey_w,鮫島克駿,6,5,7,57,75,8.0,14.7,24.0,80.0,82.0
jockey_w,吉田隼人,6,6,8,53,73,8.2,16.4,27.4,74.0,86.0
jockey_w,北村友一,6,4,3,39,52,11.5,19.2,25.0,101.0,84.0
frame,1枠,31,26,29,247,333,9.3,17.1,25.8,95.0,98.0
frame,2枠,33,32,32,258,355,9.3,18.3,27.3,96.0,95.0
frame,3枠,25,32,22,290,369,6.8,15.4,21.4,76.0,81.0
frame,4枠,22,30,37,299,388,5.7,13.4,22.9,58.0,76.0
frame,5枠,35,31,28,309,403,8.7,16.4,23.3,83.0,81.0
frame,6枠,29,35,34,313,411,7.1,15.6,23.8,70.0,84.0
frame,7枠,34,20,32,343,429,7.9,12.6,20.0,89.0,73.0
frame,8枠,29,33,23,350,435,6.7,14.3,19.5,71.0,71.0
averunningstyle,逃げ,11,7,14,89,121,9.1,14.9,26.4,79.0,75.0
averunningstyle,先行,111,108,96,792,1107,10.0,19.8,28.5,81.0,83.0
averunningstyle,差し,31,36,28,154,249,12.4,26.9,38.2,77.0,92.0
averunningstyle,追込,3,4,4,31,42,7.1,16.7,26.2,40.0,61.0
distance,500m以上延長,0,0,0,8,8,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,2,5,7,170,184,1.1,3.8,7.6,41.0,62.0
distance,100m-200m延長,26,35,34,375,470,5.5,13.0,20.2,79.0,95.0
distance,距離変更なし,110,116,110,803,1139,9.7,19.8,29.5,74.0,83.0
distance,100m-200m短縮,45,37,43,462,587,7.7,14.0,21.3,88.0,79.0
distance,300m-400m短縮,16,10,4,157,187,8.6,13.9,16.0,105.0,75.0
distance,500m以上短縮,4,0,2,22,28,14.3,14.3,21.4,152.0,84.0
surface,芝→芝,194,191,197,1762,2344,8.3,16.4,24.8,79.0,83.0
surface,ダ→芝,9,12,3,234,258,3.5,8.1,9.3,98.0,72.0
stable_trainer,美浦,25,27,20,424,496,5.0,10.5,14.5,80.0,77.0
stable_trainer,栗東,213,212,217,1981,2623,8.1,16.2,24.5,79.0,82.0
