レース名,区分,小見出し,結論,source
NHKマイルカップ,買い,前走着順,2着馬が高好走率,2026-06-20_19-16-59.pdf
NHKマイルカップ,買い,枠番,6～8枠が9勝,2026-06-20_19-16-59.pdf
NHKマイルカップ,消し,前走距離,1600m以上重視、距離延長は危険,2026-06-20_19-16-59.pdf
ウィクトリアマイル,買い,リピーター 2回以上好走が9例,リピーターは目立つレースでもあり、過去20年で2回以上好走している馬は9頭で前年優勝馬は重視。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,買い,馬体重 高好走数の460～478キロ,全20年中9年で460～478キロが優勝、440～498キロでは19勝をマーク。500キロ以上は3着以内8頭も未勝利。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,消し,年齢 好走率低い6歳以上,6歳以上の好走馬の共通点は「関東騎手騎乗」（7頭）、「マイル戦勝利歴」（6頭）、「先行馬」（4頭）。また戸崎騎乗馬は3頭好走。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,消し,前走着順 2着&6着以下を重視,前走2着馬が4勝&3着以内14頭、前走6着以下も9勝&3着以内19頭。前走1秒以上の敗戦馬も8頭が3着以内。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,消し,枠番 未勝利の4枠,過去20年の枠番では3枠が最多7勝、3着以内数は8枠で11頭。未勝利の4枠は上位人気の凡走が続き、三冠馬アバナも12年4枠で1番人気5着。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,消し,7枠上位人気馬の成績(全20年),前走阪神牝馬S出走馬は過去20年でもダンスインザムードやブエナビスタ、アバナらが好走。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,消し,前年エリザベス女王杯優勝馬の成績(全20年),1番人気になるも2着と優勝。3着は20年優勝、4着は21年優勝。,2026-06-20_19-17-07.pdf
ウィクトリアマイル,消し,GI実績 桜花賞好走馬,桜花賞で3着以内だった馬は過去9年で10頭が出走、うち8頭が3着以内。23・25年はともに8着だが、同距離でもあり要重視。,2026-06-20_19-17-07.pdf
