factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,169,169,169,2037,2544,6.6,13.3,19.9,78.0,81.0
father_w,ヘニーヒューズ,10,12,11,75,108,9.3,20.4,30.6,65.0,88.0
father_w,ロードカナロア,6,4,3,74,87,6.9,11.5,14.9,73.0,60.0
father_w,パイロ,6,2,4,32,44,13.6,18.2,27.3,127.0,91.0
father_w,サウスヴィグラス,6,3,6,27,42,14.3,21.4,35.7,147.0,138.0
father_w,アジアエクスプレス,5,5,4,50,64,7.8,15.6,21.9,77.0,82.0
father_w,モーニン,5,2,1,12,20,25.0,35.0,40.0,264.0,134.0
father_w,ハーツクライ,5,3,0,11,19,26.3,42.1,42.1,304.0,162.0
father_w,ディスクリートキャット,4,6,4,43,57,7.0,17.5,24.6,60.0,88.0
father_w,リオンディーズ,4,6,2,36,48,8.3,20.8,25.0,81.0,78.0
father_w,コパノリッキー,4,1,2,34,41,9.8,12.2,17.1,119.0,70.0
jockey_w,田辺裕信,9,4,5,18,36,25.0,36.1,50.0,163.0,120.0
jockey_w,丹内祐次,8,8,5,47,68,11.8,23.5,30.9,76.0,75.0
jockey_w,永島まなみ,8,3,5,48,64,12.5,17.2,25.0,95.0,74.0
jockey_w,菅原明良,7,6,7,30,50,14.0,26.0,40.0,103.0,95.0
jockey_w,戸崎圭太,7,6,8,27,48,14.6,27.1,43.8,52.0,77.0
jockey_w,斎藤新,7,5,5,29,46,15.2,26.1,37.0,153.0,135.0
jockey_w,石橋脩,7,7,2,22,38,18.4,36.8,42.1,208.0,156.0
jockey_w,角田大和,6,4,1,35,46,13.0,21.7,23.9,140.0,100.0
jockey_w,荻野極,6,3,3,32,44,13.6,20.5,27.3,127.0,88.0
jockey_w,松本大輝,6,2,3,28,39,15.4,20.5,28.2,188.0,123.0
frame,1枠,24,25,18,225,292,8.2,16.8,22.9,100.0,96.0
frame,2枠,15,17,18,252,302,5.0,10.6,16.6,67.0,74.0
frame,3枠,27,18,24,238,307,8.8,14.7,22.5,107.0,92.0
frame,4枠,21,20,22,256,319,6.6,12.9,19.7,73.0,78.0
frame,5枠,18,22,20,266,326,5.5,12.3,18.4,66.0,74.0
frame,6枠,18,23,19,272,332,5.4,12.3,18.1,64.0,74.0
frame,7枠,15,20,14,282,331,4.5,10.6,14.8,55.0,63.0
frame,8枠,31,24,34,246,335,9.3,16.4,26.6,94.0,95.0
averunningstyle,逃げ,24,23,13,136,196,12.2,24.0,30.6,96.0,91.0
averunningstyle,先行,89,91,87,746,1013,8.8,17.8,26.4,76.0,82.0
averunningstyle,差し,9,6,5,46,66,13.6,22.7,30.3,98.0,82.0
averunningstyle,追込,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,100m-200m延長,14,5,12,184,215,6.5,8.8,14.4,90.0,67.0
distance,距離変更なし,18,26,22,172,238,7.6,18.5,27.7,62.0,83.0
distance,100m-200m短縮,91,101,96,1068,1356,6.7,14.2,21.2,74.0,82.0
distance,300m-400m短縮,32,21,21,290,364,8.8,14.6,20.3,108.0,85.0
distance,500m以上短縮,3,6,5,168,182,1.6,4.9,7.7,53.0,66.0
surface,ダ→ダ,143,149,139,1594,2025,7.1,14.4,21.3,78.0,82.0
surface,芝→ダ,15,10,17,280,322,4.7,7.8,13.0,85.0,76.0
stable_trainer,美浦,95,111,115,1477,1798,5.3,11.5,17.9,67.0,76.0
stable_trainer,栗東,74,58,54,560,746,9.9,17.7,24.9,99.0,90.0
