factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,253,255,252,2899,3659,6.9,13.9,20.8,79.0,81.0
father_w,ビッグアーサー,19,20,13,103,155,12.3,25.2,33.5,81.0,83.0
father_w,ロードカナロア,12,14,16,114,156,7.7,16.7,26.9,57.0,77.0
father_w,ミッキーアイル,11,10,8,73,102,10.8,20.6,28.4,92.0,82.0
father_w,ダイワメジャー,9,14,8,85,116,7.8,19.8,26.7,83.0,93.0
father_w,ルーラーシップ,8,2,3,34,47,17.0,21.3,27.7,173.0,98.0
father_w,モーリス,7,4,5,69,85,8.2,12.9,18.8,98.0,84.0
father_w,リオンディーズ,6,6,6,62,80,7.5,15.0,22.5,99.0,95.0
father_w,シルバーステート,6,6,3,59,74,8.1,16.2,20.3,99.0,86.0
father_w,キズナ,6,9,4,44,63,9.5,23.8,30.2,78.0,103.0
father_w,イスラボニータ,5,7,4,56,72,6.9,16.7,22.2,79.0,86.0
jockey_w,戸崎圭太,16,14,8,33,71,22.5,42.3,53.5,91.0,92.0
jockey_w,丹内祐次,11,11,10,63,95,11.6,23.2,33.7,71.0,82.0
jockey_w,菅原明良,10,11,6,65,92,10.9,22.8,29.3,64.0,65.0
jockey_w,木幡巧也,9,4,3,55,71,12.7,18.3,22.5,141.0,84.0
jockey_w,杉原誠人,8,3,9,69,89,9.0,12.4,22.5,149.0,99.0
jockey_w,菊沢一樹,7,10,14,107,138,5.1,12.3,22.5,79.0,111.0
jockey_w,角田大和,7,4,4,60,75,9.3,14.7,20.0,96.0,78.0
jockey_w,永島まなみ,7,4,2,57,70,10.0,15.7,18.6,90.0,72.0
jockey_w,三浦皇成,7,10,7,28,52,13.5,32.7,46.2,71.0,92.0
jockey_w,小林美駒,7,1,4,37,49,14.3,16.3,24.5,159.0,95.0
frame,1枠,34,47,31,301,413,8.2,19.6,27.1,79.0,92.0
frame,2枠,45,32,31,320,428,10.5,18.0,25.2,106.0,89.0
frame,3枠,42,33,16,353,444,9.5,16.9,20.5,110.0,82.0
frame,4枠,32,26,31,363,452,7.1,12.8,19.7,81.0,78.0
frame,5枠,22,18,23,398,461,4.8,8.7,13.7,61.0,59.0
frame,6枠,29,35,37,379,480,6.0,13.3,21.0,68.0,83.0
frame,7枠,22,31,41,392,486,4.5,10.9,19.3,57.0,77.0
frame,8枠,27,33,42,393,495,5.5,12.1,20.6,71.0,89.0
averunningstyle,逃げ,27,14,12,159,212,12.7,19.3,25.0,95.0,75.0
averunningstyle,先行,110,117,91,913,1231,8.9,18.4,25.8,79.0,83.0
averunningstyle,差し,16,15,22,124,177,9.0,17.5,29.9,61.0,75.0
averunningstyle,追込,1,0,1,7,9,11.1,11.1,22.2,67.0,68.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,100m-200m延長,7,8,8,180,203,3.4,7.4,11.3,78.0,63.0
distance,距離変更なし,148,148,134,1459,1889,7.8,15.7,22.8,82.0,82.0
distance,100m-200m短縮,46,40,39,446,571,8.1,15.1,21.9,87.0,86.0
distance,300m-400m短縮,10,18,23,254,305,3.3,9.2,16.7,44.0,68.0
distance,500m以上短縮,5,3,8,139,155,3.2,5.2,10.3,97.0,95.0
surface,芝→芝,193,201,186,2013,2593,7.4,15.2,22.4,79.0,81.0
surface,ダ→芝,23,16,26,461,526,4.4,7.4,12.4,87.0,82.0
stable_trainer,美浦,154,164,178,2091,2587,6.0,12.3,19.2,74.0,79.0
stable_trainer,栗東,99,91,74,802,1066,9.3,17.8,24.8,89.0,87.0
