factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,185,185,185,1765,2320,8.0,15.9,23.9,79.0,82.0
father_w,キズナ,9,5,3,37,54,16.7,25.9,31.5,111.0,85.0
father_w,ドレフォン,8,7,8,52,75,10.7,20.0,30.7,102.0,97.0
father_w,ドゥラメンテ,8,4,4,35,51,15.7,23.5,31.4,111.0,87.0
father_w,ロードカナロア,6,10,7,56,79,7.6,20.3,29.1,58.0,87.0
father_w,ブラックタイド,6,1,2,23,32,18.8,21.9,28.1,203.0,108.0
father_w,マジェスティックウォリアー,5,6,3,46,60,8.3,18.3,23.3,60.0,62.0
father_w,シニスターミニスター,5,3,7,35,50,10.0,16.0,30.0,71.0,90.0
father_w,ホッコータルマエ,5,3,4,35,47,10.6,17.0,25.5,89.0,65.0
father_w,マインドユアビスケッツ,5,8,2,21,36,13.9,36.1,41.7,94.0,108.0
father_w,オルフェーヴル,5,2,1,27,35,14.3,20.0,22.9,100.0,83.0
jockey_w,横山武史,17,14,7,65,103,16.5,30.1,36.9,75.0,69.0
jockey_w,横山和生,15,12,11,68,106,14.2,25.5,35.8,85.0,86.0
jockey_w,藤岡佑介,12,6,3,39,60,20.0,30.0,35.0,129.0,84.0
jockey_w,鮫島克駿,10,13,10,61,94,10.6,24.5,35.1,81.0,95.0
jockey_w,吉田隼人,10,9,6,39,64,15.6,29.7,39.1,103.0,95.0
jockey_w,佐々木大輔,9,6,13,59,87,10.3,17.2,32.2,85.0,93.0
jockey_w,武豊,8,7,11,48,74,10.8,20.3,35.1,47.0,68.0
jockey_w,菱田裕二,6,7,7,51,71,8.5,18.3,28.2,73.0,85.0
jockey_w,浜中俊,6,3,0,29,38,15.8,23.7,23.7,153.0,85.0
jockey_w,岩田康誠,5,4,8,40,57,8.8,15.8,29.8,88.0,89.0
frame,1枠,15,20,21,127,183,8.2,19.1,30.6,71.0,97.0
frame,2枠,8,19,19,138,184,4.3,14.7,25.0,43.0,87.0
frame,3枠,28,20,25,201,274,10.2,17.5,26.6,110.0,97.0
frame,4枠,17,15,20,245,297,5.7,10.8,17.5,65.0,67.0
frame,5枠,27,22,25,250,324,8.3,15.1,22.8,86.0,81.0
frame,6枠,28,29,22,263,342,8.2,16.7,23.1,81.0,78.0
frame,7枠,34,37,29,254,354,9.6,20.1,28.2,98.0,96.0
frame,8枠,28,23,24,287,362,7.7,14.1,20.7,65.0,65.0
averunningstyle,逃げ,16,8,8,52,84,19.0,28.6,38.1,111.0,95.0
averunningstyle,先行,101,87,85,592,865,11.7,21.7,31.6,82.0,82.0
averunningstyle,差し,15,13,8,85,121,12.4,23.1,29.8,78.0,69.0
averunningstyle,追込,1,2,1,5,9,11.1,33.3,44.4,74.0,116.0
distance,500m以上延長,6,1,10,115,132,4.5,5.3,12.9,135.0,116.0
distance,300m-400m延長,13,16,7,139,175,7.4,16.6,20.6,108.0,92.0
distance,100m-200m延長,19,16,13,185,233,8.2,15.0,20.6,77.0,68.0
distance,距離変更なし,83,91,98,723,995,8.3,17.5,27.3,71.0,82.0
distance,100m-200m短縮,50,53,45,456,604,8.3,17.1,24.5,78.0,83.0
distance,300m-400m短縮,8,5,8,96,117,6.8,11.1,17.9,100.0,76.0
distance,500m以上短縮,5,1,3,34,43,11.6,14.0,20.9,187.0,121.0
surface,ダ→ダ,162,178,175,1508,2023,8.0,16.8,25.5,75.0,83.0
surface,芝→ダ,22,5,9,239,275,8.0,9.8,13.1,127.0,68.0
stable_trainer,美浦,79,79,92,866,1116,7.1,14.2,22.4,75.0,79.0
stable_trainer,栗東,106,106,93,899,1204,8.8,17.6,25.3,82.0,84.0
