factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,31,31,31,277,370,8.4,16.8,25.1,79.0,82.0
father_w,ディープインパクト,5,1,1,17,24,20.8,25.0,29.2,172.0,105.0
father_w,キズナ,5,1,1,8,15,33.3,40.0,46.7,197.0,110.0
father_w,ハーツクライ,3,3,2,25,33,9.1,18.2,24.2,68.0,66.0
father_w,ハービンジャー,2,4,4,20,30,6.7,20.0,33.3,54.0,92.0
father_w,オルフェーヴル,2,0,2,9,13,15.4,15.4,30.8,140.0,74.0
father_w,エピファネイア,1,1,0,15,17,5.9,11.8,11.8,89.0,37.0
father_w,ドゥラメンテ,1,1,1,10,13,7.7,15.4,23.1,127.0,134.0
father_w,ルーラーシップ,1,1,2,9,13,7.7,15.4,30.8,87.0,104.0
father_w,キングカメハメハ,1,1,0,9,11,9.1,18.2,18.2,165.0,90.0
father_w,サトノダイヤモンド,1,1,0,8,10,10.0,20.0,20.0,51.0,51.0
jockey_w,吉田隼人,6,0,1,11,18,33.3,33.3,38.9,261.0,108.0
jockey_w,藤岡佑介,3,2,0,14,19,15.8,26.3,26.3,126.0,75.0
jockey_w,横山武史,3,2,1,11,17,17.6,29.4,35.3,85.0,74.0
jockey_w,C.ルメール,3,2,1,2,8,37.5,62.5,75.0,102.0,113.0
jockey_w,横山和生,2,6,2,9,19,10.5,42.1,52.6,68.0,122.0
jockey_w,佐々木大輔,2,1,4,10,17,11.8,17.6,41.2,83.0,111.0
jockey_w,北村友一,2,1,0,4,7,28.6,42.9,42.9,106.0,68.0
jockey_w,角田大和,2,0,0,3,5,40.0,40.0,40.0,553.0,144.0
jockey_w,丹内祐次,1,4,4,21,30,3.3,16.7,30.0,35.0,124.0
jockey_w,鮫島克駿,1,1,1,14,17,5.9,11.8,17.6,48.0,48.0
frame,1枠,4,4,2,26,36,11.1,22.2,27.8,117.0,94.0
frame,2枠,4,3,3,28,38,10.5,18.4,26.3,67.0,68.0
frame,3枠,4,3,5,28,40,10.0,17.5,30.0,82.0,84.0
frame,4枠,3,5,2,32,42,7.1,19.0,23.8,56.0,77.0
frame,5枠,4,4,5,36,49,8.2,16.3,26.5,110.0,104.0
frame,6枠,3,3,5,40,51,5.9,11.8,21.6,63.0,74.0
frame,7枠,5,2,5,44,56,8.9,12.5,21.4,99.0,73.0
frame,8枠,4,7,4,43,58,6.9,19.0,25.9,65.0,93.0
averunningstyle,逃げ,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0
averunningstyle,先行,16,8,10,85,119,13.4,20.2,28.6,90.0,79.0
averunningstyle,差し,6,3,2,13,24,25.0,37.5,45.8,116.0,85.0
averunningstyle,追込,0,1,0,2,3,0.0,33.3,33.3,0.0,58.0
distance,500m以上延長,11,10,11,116,148,7.4,14.2,21.6,89.0,84.0
distance,300m-400m延長,9,6,5,23,43,20.9,34.9,46.5,151.0,123.0
distance,100m-200m延長,4,8,3,50,65,6.2,18.5,23.1,50.0,78.0
distance,距離変更なし,6,7,11,82,106,5.7,12.3,22.6,49.0,62.0
distance,100m-200m短縮,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
distance,300m-400m短縮,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
distance,500m以上短縮,1,0,1,2,4,25.0,25.0,50.0,133.0,104.0
surface,芝→芝,29,29,29,242,329,8.8,17.6,26.4,76.0,80.0
surface,ダ→芝,2,2,2,31,37,5.4,10.8,16.2,178.0,144.0
stable_trainer,美浦,8,19,16,122,165,4.8,16.4,26.1,44.0,87.0
stable_trainer,栗東,23,12,15,154,204,11.3,17.2,24.5,109.0,78.0
