course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
阪神芝1200m,,,,,新馬: 1:10.2 / 未勝利: 1:09.2,1勝: 1:08.7 / 2勝: 1:08.1,3勝: 1:08.2 / 重賞OP: 1:08.9,,"ロードカナロア(勝10.7%/複30.6%), ビッグアーサー(勝12.7%/複33.3%), ダイワメジャー(勝9.8%/複23.0%), ミッキーアイル(勝11.4%/複27.3%), モーリス(勝7.7%/複17.3%), キズナ(勝6.5%/複15.2%), アメリカンペイトリオット(勝16.7%/複27.8%), ジャスタウェイ(勝16.7%/複22.2%), キンシャサノキセキ(勝6.9%/複20.7%), イスラボニータ(勝8.7%/複30.4%), ファインニードル(勝8.7%/複26.1%), デクラレーションオブウォー(勝18.2%/複27.3%), リオンディーズ(勝2.9%/複29.4%), ディープインパクト(勝4.5%/複27.3%), エピファネイア(勝4.8%/複14.3%)","ダンスインザダーク(勝18.5%/複29.6%), スペシャルウィーク(勝22.7%/複40.9%), ディープインパクト(勝6.2%/複29.7%), Dubawi(勝26.7%/複53.3%), ダイワメジャー(勝7.3%/複29.3%), サクラバクシンオー(勝7.5%/複30.0%), シンボリクリスエス(勝9.4%/複18.8%), マンハッタンカフェ(勝16.7%/複38.9%), ロードカナロア(勝16.7%/複66.7%), ゼンノロブロイ(勝5.3%/複18.4%), アグネスタキオン(勝8.0%/複16.0%), タイキシャトル(勝14.3%/複28.6%), アドマイヤムーン(勝15.4%/複15.4%), ヨハネスブルグ(勝15.4%/複30.8%), ルーラーシップ(勝15.4%/複30.8%), ノヴェリスト(勝20.0%/複20.0%)",100m-200m延長(勝0.0%/複14.6%) / 距離同距離(勝8.1%/複23.8%) / 100m-200m短縮(勝7.4%/複25.2%) / 300m-400m短縮(勝8.6%/複15.5%) / 500m+短縮(勝0.0%/複0.0%),ダ→芝(勝2.8%/複12.1%) / ダ→芝(勝4.3%/複13.0%),昇級(勝9.5%/複25.7%) / 降級(勝9.4%/複30.2%) / 昇級(勝0.0%/複23.1%) / 降級(勝14.3%/複28.6%)
阪神芝1400m,,,,,新馬: 1:22.6 / 未勝利: 1:21.6,1勝: 1:21.3 / 2勝: 1:20.7,3勝: 1:20.4 / 重賞OP: 1:20.4,,"ロードカナロア(勝8.7%/複18.8%), モーリス(勝10.5%/複26.3%), キズナ(勝7.5%/複28.7%), エピファネイア(勝8.1%/複28.4%), ディープインパクト(勝11.3%/複28.3%), ミッキーアイル(勝11.8%/複25.5%), ハービンジャー(勝19.4%/複29.0%), ダイワメジャー(勝6.8%/複21.9%), リオンディーズ(勝8.6%/複25.9%), ルーラーシップ(勝6.9%/複17.2%), シルバーステート(勝8.0%/複28.0%), ビッグアーサー(勝9.1%/複18.2%), リアルスティール(勝16.7%/複33.3%), ブリックスアンドモルタル(勝25.0%/複37.5%), オルフェーヴル(勝7.3%/複19.5%), ドゥラメンテ(勝7.3%/複19.5%), ドレフォン(勝7.3%/複24.4%), キタサンブラック(勝8.3%/複36.1%), ジャスタウェイ(勝8.6%/複25.7%), ワールドエース(勝15.8%/複21.1%)","ディープインパクト(勝8.1%/複19.4%), キングカメハメハ(勝8.9%/複25.9%), サンデーサイレンス(勝14.3%/複30.6%), ジャングルポケット(勝19.4%/複29.0%), シンボリクリスエス(勝10.2%/複28.6%), フジキセキ(勝6.9%/複27.6%), ダイワメジャー(勝7.4%/複20.4%), ダンスインザダーク(勝7.8%/複19.6%), ハーツクライ(勝10.3%/複30.8%), ブライアンズタイム(勝16.0%/複32.0%), ハービンジャー(勝10.3%/複34.5%), キングヘイロー(勝13.6%/複22.7%), War Front(勝30.0%/複60.0%), アグネスタキオン(勝3.4%/複16.9%), クロフネ(勝4.0%/複14.0%), スペシャルウィーク(勝5.7%/複22.9%), ステイゴールド(勝8.3%/複12.5%), ネオユニヴァース(勝8.7%/複17.4%), アグネスデジタル(勝9.5%/複28.6%), ファルブラヴ(勝13.3%/複26.7%)",300m-400m延長(勝0.0%/複10.0%) / 100m-200m延長(勝4.1%/複17.6%) / 距離同距離(勝8.6%/複25.7%) / 100m-200m短縮(勝9.7%/複23.8%) / 300m-400m短縮(勝5.1%/複11.2%) / 500m+短縮(勝2.3%/複7.0%),ダ→芝(勝4.8%/複12.2%) / ダ→芝(勝0.0%/複8.3%),昇級(勝9.5%/複24.9%) / 降級(勝6.9%/複20.8%) / 昇級(勝11.1%/複22.2%)
阪神芝1600m,,,,,新馬: 1:35.9 / 未勝利: 1:34.6,1勝: 1:34.0 / 2勝: 1:33.7,3勝: 1:32.8 / 重賞OP: 1:33.1,,"エピファネイア(勝9.6%/複27.4%), ロードカナロア(勝8.2%/複30.8%), モーリス(勝9.4%/複29.4%), キズナ(勝8.7%/複24.2%), ディープインパクト(勝9.8%/複28.5%), ルーラーシップ(勝12.5%/複25.0%), ハーツクライ(勝9.7%/複24.3%), ドゥラメンテ(勝8.8%/複15.7%), リオンディーズ(勝6.5%/複26.2%), ハービンジャー(勝8.6%/複22.9%), ブリックスアンドモルタル(勝10.5%/複29.8%), オルフェーヴル(勝11.3%/複18.9%), イスラボニータ(勝5.8%/複31.4%), シルバーステート(勝6.1%/複18.3%), キタサンブラック(勝7.4%/複23.5%), ダイワメジャー(勝8.9%/複25.0%), ミッキーアイル(勝9.1%/複20.0%), レイデオロ(勝13.9%/複22.2%), キングカメハメハ(勝21.7%/複34.8%), リアルスティール(勝6.9%/複25.9%)","ディープインパクト(勝12.6%/複28.5%), クロフネ(勝10.6%/複23.5%), キングカメハメハ(勝4.8%/複19.3%), マンハッタンカフェ(勝7.3%/複22.0%), ゼンノロブロイ(勝8.1%/複35.5%), ダイワメジャー(勝9.4%/複15.1%), ハーツクライ(勝4.5%/複19.3%), ダンスインザダーク(勝7.0%/複15.8%), ステイゴールド(勝7.1%/複26.8%), フレンチデピュティ(勝8.5%/複34.0%), ブライアンズタイム(勝9.3%/複14.0%), サクラバクシンオー(勝10.5%/複23.7%), ヴィクトワールピサ(勝11.1%/複33.3%), Medaglia d'Oro(勝25.0%/複37.5%), アグネスタキオン(勝4.2%/複18.3%), ジャングルポケット(勝5.0%/複11.7%), サンデーサイレンス(勝5.2%/複17.2%), フジキセキ(勝5.2%/複27.6%), スペシャルウィーク(勝5.6%/複22.2%), ネオユニヴァース(勝8.1%/複18.9%)",300m-400m延長(勝1.7%/複10.2%) / 100m-200m延長(勝3.1%/複14.0%) / 距離同距離(勝9.8%/複27.4%) / 100m-200m短縮(勝9.1%/複26.7%) / 300m-400m短縮(勝5.9%/複17.8%) / 500m+短縮(勝9.5%/複19.0%),ダ→芝(勝2.1%/複8.2%) / ダ→芝(勝6.5%/複22.6%),昇級(勝7.3%/複22.4%) / 降級(勝16.0%/複36.0%) / 昇級(勝6.0%/複14.9%) / 降級(勝10.0%/複50.0%)
阪神芝1800m,,,,,新馬: 1:48.6 / 未勝利: 1:47.4,1勝: 1:46.6 / 2勝: 1:46.2,3勝: 1:45.2 / 重賞OP: 1:45.5,,"ディープインパクト(勝17.2%/複43.4%), ロードカナロア(勝13.4%/複28.6%), キズナ(勝11.3%/複27.4%), エピファネイア(勝9.3%/複31.4%), ハーツクライ(勝11.6%/複28.4%), ドゥラメンテ(勝8.5%/複36.2%), モーリス(勝8.3%/複29.8%), ルーラーシップ(勝8.4%/複28.9%), ジャスタウェイ(勝13.0%/複28.3%), リアルスティール(勝15.4%/複23.1%), シルバーステート(勝9.8%/複27.5%), キタサンブラック(勝6.8%/複23.7%), サトノダイヤモンド(勝11.4%/複25.7%), スワーヴリチャード(勝16.7%/複25.0%), デクラレーションオブウォー(勝25.0%/複43.8%), スクリーンヒーロー(勝33.3%/複50.0%), リオンディーズ(勝6.8%/複20.5%), ヴィクトワールピサ(勝11.5%/複19.2%), ハービンジャー(勝3.4%/複12.1%), ゴールドシップ(勝5.6%/複33.3%)","ディープインパクト(勝7.4%/複28.4%), キングカメハメハ(勝9.9%/複32.4%), ハーツクライ(勝14.0%/複36.0%), クロフネ(勝10.2%/複25.4%), アグネスタキオン(勝7.5%/複20.8%), サンデーサイレンス(勝14.8%/複37.0%), マンハッタンカフェ(勝6.8%/複13.6%), スペシャルウィーク(勝10.0%/複23.3%), ハービンジャー(勝10.3%/複34.5%), フレンチデピュティ(勝11.1%/複18.5%), Galileo(勝13.0%/複26.1%), ルーラーシップ(勝23.1%/複30.8%), Giant's Causeway(勝27.3%/複63.6%), Medaglia d'Oro(勝30.0%/複40.0%), ジャングルポケット(勝5.1%/複23.1%), シンボリクリスエス(勝5.9%/複20.6%), サクラバクシンオー(勝7.4%/複14.8%), ヴィクトワールピサ(勝9.1%/複13.6%), フジキセキ(勝9.1%/複22.7%), グラスワンダー(勝10.0%/複20.0%)",500m+延長(勝0.0%/複9.5%) / 300m-400m延長(勝2.5%/複7.5%) / 100m-200m延長(勝7.2%/複23.1%) / 距離同距離(勝11.7%/複30.2%) / 100m-200m短縮(勝7.9%/複27.7%) / 300m-400m短縮(勝7.3%/複25.5%) / 500m+短縮(勝11.1%/複16.7%),ダ→芝(勝2.5%/複8.6%) / ダ→芝(勝4.8%/複9.5%),昇級(勝10.3%/複28.8%) / 降級(勝13.2%/複36.8%) / 昇級(勝12.5%/複37.5%) / 降級(勝16.7%/複33.3%)
阪神芝2000m,,,,,新馬: 2:03.0 / 未勝利: 2:01.7,1勝: 2:00.4 / 2勝: 2:00.3,3勝: 1:59.5 / 重賞OP: 1:59.3,,"キズナ(勝11.3%/複39.1%), ドゥラメンテ(勝14.0%/複38.3%), エピファネイア(勝9.6%/複28.9%), ルーラーシップ(勝14.8%/複34.1%), キタサンブラック(勝16.2%/複37.5%), ハーツクライ(勝9.2%/複29.2%), ディープインパクト(勝9.9%/複31.5%), シルバーステート(勝13.1%/複31.1%), ハービンジャー(勝6.4%/複28.4%), ブラックタイド(勝17.5%/複32.5%), オルフェーヴル(勝8.8%/複20.6%), モーリス(勝10.7%/複17.9%), キングカメハメハ(勝16.2%/複37.8%), ゴールドシップ(勝7.7%/複18.5%), サトノダイヤモンド(勝12.8%/複35.9%), ロードカナロア(勝7.5%/複26.4%), サトノクラウン(勝12.1%/複24.2%), コントレイル(勝14.8%/複29.6%), リアルスティール(勝8.6%/複34.3%), スクリーンヒーロー(勝9.4%/複18.8%)","ディープインパクト(勝10.1%/複29.3%), キングカメハメハ(勝11.9%/複31.9%), クロフネ(勝10.3%/複24.1%), ハービンジャー(勝15.4%/複38.5%), フレンチデピュティ(勝11.4%/複31.8%), シンボリクリスエス(勝11.6%/複27.9%), スペシャルウィーク(勝15.2%/複39.4%), ハーツクライ(勝8.9%/複35.6%), ジャングルポケット(勝13.3%/複16.7%), Galileo(勝26.7%/複46.7%), アグネスタキオン(勝6.5%/複32.6%), ダンスインザダーク(勝7.7%/複28.2%), ブライアンズタイム(勝10.7%/複35.7%), ヴィクトワールピサ(勝17.6%/複35.3%), キングヘイロー(勝21.4%/複35.7%), ロージズインメイ(勝23.1%/複23.1%), マンハッタンカフェ(勝4.2%/複8.3%)",500m+延長(勝0.0%/複4.8%) / 300m-400m延長(勝7.3%/複20.3%) / 100m-200m延長(勝7.5%/複21.3%) / 距離同距離(勝9.8%/複30.7%) / 100m-200m短縮(勝11.0%/複28.4%) / 300m-400m短縮(勝13.3%/複37.3%) / 500m+短縮(勝8.2%/複22.4%),ダ→芝(勝1.4%/複13.4%) / ダ→芝(勝3.0%/複18.2%),昇級(勝9.6%/複26.7%) / 降級(勝14.8%/複31.5%) / 昇級(勝6.1%/複22.4%) / 降級(勝25.0%/複87.5%)
阪神芝2200m,,,,,未勝利: 2:13.9,1勝: 2:13.1 / 2勝: 2:13.5,3勝: 2:12.8 / 重賞OP: 2:11.9,,"キズナ(勝11.3%/複30.2%), ハービンジャー(勝16.7%/複26.7%), ドゥラメンテ(勝17.9%/複35.7%), ゴールドシップ(勝19.2%/複38.5%), エピファネイア(勝6.8%/複34.1%), ハーツクライ(勝10.0%/複20.0%), キタサンブラック(勝18.8%/複31.2%), オルフェーヴル(勝9.5%/複28.6%), ロードカナロア(勝15.4%/複23.1%), ディープインパクト(勝2.4%/複21.4%), ルーラーシップ(勝4.2%/複16.7%), キングカメハメハ(勝5.0%/複15.0%), ブリックスアンドモルタル(勝7.7%/複7.7%), レイデオロ(勝8.3%/複33.3%), ジャスタウェイ(勝9.1%/複18.2%)","キングカメハメハ(勝13.5%/複35.1%), フレンチデピュティ(勝38.5%/複53.8%), ディープインパクト(勝5.6%/複22.2%), マンハッタンカフェ(勝23.1%/複38.5%), ハーツクライ(勝9.1%/複36.4%), クロフネ(勝4.5%/複18.2%), シンボリクリスエス(勝5.6%/複11.1%), Galileo(勝8.3%/複25.0%), アグネスタキオン(勝8.3%/複16.7%), サンデーサイレンス(勝10.0%/複40.0%)",500m+延長(勝4.0%/複16.0%) / 300m-400m延長(勝3.9%/複16.5%) / 100m-200m延長(勝10.0%/複30.3%) / 距離同距離(勝11.1%/複25.3%) / 100m-200m短縮(勝6.4%/複25.5%) / 300m-400m短縮(勝11.1%/複16.7%) / 500m+短縮(勝3.8%/複11.5%),ダ→芝(勝2.1%/複8.3%) / ダ→芝(勝14.3%/複14.3%),昇級(勝17.9%/複33.7%) / 降級(勝6.2%/複37.5%) / 昇級(勝8.3%/複33.3%)
阪神芝2400m,,,,,未勝利: 2:28.0,1勝: 2:26.9 / 2勝: 2:27.2,3勝: 2:26.6 / 重賞OP: 2:24.7,,"キズナ(勝32.6%/複55.8%), ディープインパクト(勝12.0%/複32.0%), エピファネイア(勝12.2%/複32.7%), キタサンブラック(勝14.3%/複39.3%), サトノダイヤモンド(勝20.0%/複30.0%), ルーラーシップ(勝8.1%/複32.4%), ジャスタウェイ(勝13.6%/複27.3%), コントレイル(勝16.7%/複38.9%), サートゥルナーリア(勝23.1%/複38.5%), ハーツクライ(勝4.0%/複22.0%), ゴールドシップ(勝5.3%/複23.7%), ドゥラメンテ(勝6.7%/複30.0%), モーリス(勝10.5%/複21.1%), ブリックスアンドモルタル(勝18.2%/複27.3%), ハービンジャー(勝2.3%/複29.5%), シルバーステート(勝5.3%/複26.3%), キングカメハメハ(勝5.6%/複22.2%), レイデオロ(勝5.6%/複22.2%)","ディープインパクト(勝7.8%/複29.9%), ブライアンズタイム(勝26.7%/複46.7%), クロフネ(勝12.5%/複20.8%), ゼンノロブロイ(勝18.8%/複37.5%), ハーツクライ(勝6.9%/複17.2%), マンハッタンカフェ(勝9.5%/複14.3%), シンボリクリスエス(勝10.0%/複40.0%), サンデーサイレンス(勝12.5%/複43.8%), ダンスインザダーク(勝18.2%/複36.4%), Unbridled's Song(勝20.0%/複60.0%), キングカメハメハ(勝2.9%/複22.9%)",500m+延長(勝3.8%/複11.3%) / 300m-400m延長(勝11.6%/複29.2%) / 100m-200m延長(勝8.8%/複32.7%) / 距離同距離(勝13.8%/複40.6%) / 100m-200m短縮(勝7.8%/複31.1%) / 500m+短縮(勝10.0%/複20.0%),ダ→芝(勝3.4%/複10.1%) / ダ→芝(勝0.0%/複0.0%),昇級(勝7.3%/複28.4%) / 降級(勝17.5%/複42.5%) / 昇級(勝11.1%/複38.9%)
阪神芝2600m,,,,,-,1勝: 2:36.7 / 2勝: 2:39.8,重賞OP: 2:37.9,,"ディープインパクト(勝23.1%/複53.8%), ゴールドシップ(勝25.0%/複33.3%), ハーツクライ(勝13.3%/複20.0%), ルーラーシップ(勝0.0%/複20.0%)",キングカメハメハ(勝7.1%/複14.3%),500m+延長(勝2.5%/複17.5%) / 300m-400m延長(勝13.6%/複50.0%) / 100m-200m延長(勝16.7%/複41.7%) / 距離同距離(勝4.2%/複16.7%) / 300m-400m短縮(勝10.0%/複10.0%) / 500m+短縮(勝11.1%/複11.1%),ダ→芝(勝7.1%/複14.3%),昇級(勝11.5%/複26.9%)
阪神芝3000m,,,,,-,-,3勝: 3:05.1 / 重賞OP: 3:04.1,,"ディープインパクト(勝17.6%/複35.3%), ゴールドシップ(勝6.2%/複12.5%), キズナ(勝7.1%/複21.4%), オルフェーヴル(勝9.1%/複36.4%), キングカメハメハ(勝0.0%/複10.0%)",ディープインパクト(勝0.0%/複40.0%),500m+延長(勝9.8%/複25.0%) / 300m-400m延長(勝0.0%/複9.1%) / 距離同距離(勝0.0%/複14.3%) / 300m-400m短縮(勝9.1%/複27.3%),ダ→芝(勝0.0%/複0.0%),昇級(勝5.7%/複11.4%) / 降級(勝7.1%/複14.3%) / 昇級(勝0.0%/複20.0%)
阪神ダート1200m,,,,,新馬: 1:13.6 / 未勝利: 1:12.9,1勝: 1:12.1 / 2勝: 1:11.6,3勝: 1:11.1 / 重賞OP: 1:10.7,,"ヘニーヒューズ(勝9.6%/複27.7%), ドレフォン(勝13.5%/複28.8%), シニスターミニスター(勝9.9%/複23.4%), ロードカナロア(勝5.4%/複20.5%), ミッキーアイル(勝8.4%/複20.6%), キンシャサノキセキ(勝7.7%/複28.8%), モーリス(勝11.9%/複32.8%), エスポワールシチー(勝13.3%/複26.7%), パイロ(勝9.6%/複26.0%), カレンブラックヒル(勝11.1%/複19.0%), ダノンレジェンド(勝14.9%/複27.7%), アジアエクスプレス(勝6.5%/複17.4%), ダイワメジャー(勝7.1%/複21.2%), コパノリッキー(勝7.2%/複17.4%), リオンディーズ(勝7.7%/複27.7%), ディスクリートキャット(勝7.9%/複27.0%), シャンハイボビー(勝10.4%/複25.0%), カリフォルニアクローム(勝13.5%/複29.7%), イスラボニータ(勝6.5%/複19.4%), シルバーステート(勝8.2%/複24.5%)","キングカメハメハ(勝9.6%/複27.4%), ディープインパクト(勝8.3%/複17.6%), マンハッタンカフェ(勝9.6%/複19.3%), ブライアンズタイム(勝9.8%/複28.0%), アグネスタキオン(勝8.0%/複23.0%), サウスヴィグラス(勝9.3%/複24.0%), スペシャルウィーク(勝10.0%/複28.6%), アグネスデジタル(勝16.7%/複23.8%), クロフネ(勝5.0%/複21.8%), サクラバクシンオー(勝6.9%/複20.7%), ネオユニヴァース(勝9.1%/複25.8%), フジキセキ(勝5.4%/複20.4%), タイキシャトル(勝8.1%/複21.0%), コロナドズクエスト(勝23.8%/複38.1%), ゴールドアリュール(勝4.8%/複13.1%), シンボリクリスエス(勝6.8%/複16.9%), アドマイヤムーン(勝7.5%/複13.2%), Distorted Humor(勝14.8%/複40.7%), Seeking the Gold(勝25.0%/複25.0%), ダイワメジャー(勝3.0%/複17.8%)",100m-200m延長(勝3.1%/複18.7%) / 距離同距離(勝7.6%/複21.9%) / 100m-200m短縮(勝7.6%/複21.2%) / 300m-400m短縮(勝2.4%/複15.9%) / 500m+短縮(勝3.8%/複11.3%),芝→ダ(勝4.2%/複15.0%) / 芝→ダ(勝4.3%/複8.5%),昇級(勝6.0%/複18.7%) / 降級(勝10.5%/複31.6%) / 昇級(勝11.5%/複23.0%)
