factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,101,101,101,947,1250,8.1,16.2,24.2,78.0,83.0
father_w,キズナ,8,6,8,36,58,13.8,24.1,37.9,77.0,79.0
father_w,キングカメハメハ,8,4,6,33,51,15.7,23.5,35.3,157.0,131.0
father_w,ホッコータルマエ,8,6,2,28,44,18.2,31.8,36.4,185.0,108.0
father_w,マジェスティックウォリアー,7,3,1,17,28,25.0,35.7,39.3,205.0,99.0
father_w,ブラックタイド,7,3,1,8,19,36.8,52.6,57.9,176.0,128.0
father_w,ルーラーシップ,6,4,4,39,53,11.3,18.9,26.4,100.0,84.0
father_w,オルフェーヴル,6,3,6,24,39,15.4,23.1,38.5,117.0,118.0
father_w,エピファネイア,3,1,3,16,23,13.0,17.4,30.4,83.0,68.0
father_w,リアルスティール,3,1,0,5,9,33.3,44.4,44.4,121.0,92.0
father_w,ハーツクライ,2,4,3,39,48,4.2,12.5,18.8,32.0,63.0
jockey_w,岩田望来,13,6,5,32,56,23.2,33.9,42.9,147.0,101.0
jockey_w,鮫島克駿,10,6,1,19,36,27.8,44.4,47.2,182.0,124.0
jockey_w,坂井瑠星,8,2,7,26,43,18.6,23.3,39.5,105.0,95.0
jockey_w,川田将雅,8,7,5,15,35,22.9,42.9,57.1,57.0,84.0
jockey_w,松山弘平,7,8,8,22,45,15.6,33.3,51.1,99.0,106.0
jockey_w,岩田康誠,5,2,1,21,29,17.2,24.1,27.6,117.0,77.0
jockey_w,幸英明,3,6,6,45,60,5.0,15.0,25.0,45.0,54.0
jockey_w,和田竜二,3,4,2,51,60,5.0,11.7,15.0,61.0,58.0
jockey_w,団野大成,3,3,4,26,36,8.3,16.7,27.8,85.0,116.0
jockey_w,武豊,3,4,3,12,22,13.6,31.8,45.5,59.0,91.0
frame,1枠,12,4,14,94,124,9.7,12.9,24.2,80.0,73.0
frame,2枠,11,9,5,104,129,8.5,15.5,19.4,97.0,82.0
frame,3枠,8,10,13,111,142,5.6,12.7,21.8,52.0,67.0
frame,4枠,10,11,13,114,148,6.8,14.2,23.0,70.0,84.0
frame,5枠,8,20,11,121,160,5.0,17.5,24.4,51.0,84.0
frame,6枠,20,15,11,127,173,11.6,20.2,26.6,118.0,85.0
frame,7枠,14,14,18,138,184,7.6,15.2,25.0,65.0,88.0
frame,8枠,18,18,16,138,190,9.5,18.9,27.4,93.0,95.0
averunningstyle,逃げ,1,4,1,29,35,2.9,14.3,17.1,24.0,69.0
averunningstyle,先行,48,36,36,300,420,11.4,20.0,28.6,80.0,79.0
averunningstyle,差し,14,15,13,69,111,12.6,26.1,37.8,70.0,83.0
averunningstyle,追込,2,0,1,5,8,25.0,25.0,37.5,178.0,106.0
distance,500m以上延長,0,0,0,15,15,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,1,7,7,66,81,1.2,9.9,18.5,23.0,106.0
distance,100m-200m延長,59,60,53,554,726,8.1,16.4,23.7,77.0,78.0
distance,距離変更なし,28,17,17,172,234,12.0,19.2,26.5,89.0,77.0
distance,100m-200m短縮,10,12,14,76,112,8.9,19.6,32.1,88.0,108.0
distance,300m-400m短縮,1,3,5,31,40,2.5,10.0,22.5,43.0,110.0
distance,500m以上短縮,2,1,3,22,28,7.1,10.7,21.4,175.0,132.0
surface,ダ→ダ,91,96,85,824,1096,8.3,17.1,24.8,78.0,83.0
surface,芝→ダ,10,4,13,108,135,7.4,10.4,20.0,83.0,76.0
stable_trainer,美浦,3,9,6,85,103,2.9,11.7,17.5,52.0,89.0
stable_trainer,栗東,98,92,95,862,1147,8.5,16.6,24.8,79.0,83.0
