factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,202,200,201,1675,2278,8.9,17.6,26.5,80.0,81.0
father_w,キズナ,16,20,16,85,137,11.7,26.3,38.0,86.0,92.0
father_w,ドゥラメンテ,16,15,11,69,111,14.4,27.9,37.8,94.0,87.0
father_w,ディープインパクト,15,12,16,98,141,10.6,19.1,30.5,65.0,78.0
father_w,ルーラーシップ,15,7,10,66,98,15.3,22.4,32.7,148.0,107.0
father_w,エピファネイア,12,12,10,94,128,9.4,18.8,26.6,72.0,76.0
father_w,ハーツクライ,11,11,13,94,129,8.5,17.1,27.1,61.0,64.0
father_w,キタサンブラック,10,7,7,43,67,14.9,25.4,35.8,72.0,80.0
father_w,モーリス,8,0,6,49,63,12.7,12.7,22.2,94.0,69.0
father_w,キングカメハメハ,8,10,2,31,51,15.7,35.3,39.2,124.0,107.0
father_w,ハービンジャー,6,8,17,84,115,5.2,12.2,27.0,51.0,75.0
jockey_w,川田将雅,23,14,15,21,73,31.5,50.7,71.2,83.0,96.0
jockey_w,松山弘平,13,11,11,66,101,12.9,23.8,34.7,75.0,78.0
jockey_w,和田竜二,11,8,5,80,104,10.6,18.3,23.1,125.0,79.0
jockey_w,坂井瑠星,9,8,12,48,77,11.7,22.1,37.7,63.0,80.0
jockey_w,岩田康誠,8,10,6,25,49,16.3,36.7,49.0,115.0,112.0
jockey_w,藤岡康太,7,10,5,46,68,10.3,25.0,32.4,90.0,97.0
jockey_w,C.ルメール,7,9,5,21,42,16.7,38.1,50.0,67.0,82.0
jockey_w,岩田望来,6,13,12,64,95,6.3,20.0,32.6,42.0,77.0
jockey_w,北村友一,6,4,4,28,42,14.3,23.8,33.3,112.0,106.0
jockey_w,C.デムーロ,6,1,4,9,20,30.0,35.0,55.0,91.0,79.0
frame,1枠,29,19,23,162,233,12.4,20.6,30.5,104.0,88.0
frame,2枠,20,18,29,182,249,8.0,15.3,26.9,72.0,77.0
frame,3枠,17,19,23,195,254,6.7,14.2,23.2,62.0,72.0
frame,4枠,25,29,32,186,272,9.2,19.9,31.6,90.0,91.0
frame,5枠,22,28,27,209,286,7.7,17.5,26.9,63.0,82.0
frame,6枠,24,34,19,230,307,7.8,18.9,25.1,72.0,72.0
frame,7枠,25,29,27,252,333,7.5,16.2,24.3,80.0,88.0
frame,8枠,40,24,21,259,344,11.6,18.6,24.7,97.0,81.0
averunningstyle,逃げ,12,6,8,68,94,12.8,19.1,27.7,105.0,80.0
averunningstyle,先行,88,78,80,516,762,11.5,21.8,32.3,81.0,80.0
averunningstyle,差し,33,41,28,163,265,12.5,27.9,38.5,71.0,84.0
averunningstyle,追込,3,7,4,25,39,7.7,25.6,35.9,45.0,79.0
distance,500m以上延長,0,2,1,59,62,0.0,3.2,4.8,0.0,43.0
distance,300m-400m延長,13,13,10,141,177,7.3,14.7,20.3,87.0,72.0
distance,100m-200m延長,40,33,41,422,536,7.5,13.6,21.3,81.0,77.0
distance,距離変更なし,86,95,87,606,874,9.8,20.7,30.7,74.0,80.0
distance,100m-200m短縮,17,15,12,111,155,11.0,20.6,28.4,103.0,85.0
distance,300m-400m短縮,11,11,9,52,83,13.3,26.5,37.3,108.0,102.0
distance,500m以上短縮,4,3,4,38,49,8.2,14.3,22.4,82.0,72.0
surface,芝→芝,169,159,160,1305,1793,9.4,18.3,27.2,81.0,80.0
surface,ダ→芝,2,13,4,123,142,1.4,10.6,13.4,48.0,90.0
stable_trainer,美浦,10,5,15,142,172,5.8,8.7,17.4,73.0,69.0
stable_trainer,栗東,192,195,186,1532,2105,9.1,18.4,27.2,81.0,82.0
