factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,10,10,10,87,117,8.5,17.1,25.6,79.0,84.0
father_w,ハーツクライ,3,1,0,2,6,50.0,66.7,66.7,207.0,131.0
father_w,キングカメハメハ,1,1,0,6,8,12.5,25.0,25.0,100.0,84.0
father_w,ホッコータルマエ,1,0,0,3,4,25.0,25.0,25.0,115.0,43.0
father_w,キズナ,1,0,1,2,4,25.0,25.0,50.0,202.0,194.0
father_w,ブリックスアンドモルタル,1,0,0,1,2,50.0,50.0,50.0,619.0,256.0
father_w,ドゥラメンテ,1,0,0,1,2,50.0,50.0,50.0,816.0,348.0
father_w,フリオーソ,1,0,1,0,2,50.0,50.0,100.0,299.0,204.0
father_w,GoodMagic,1,0,0,0,1,100.0,100.0,100.0,230.0,120.0
father_w,マジェスティックウォリアー,0,0,1,7,8,0.0,0.0,12.5,0.0,33.0
father_w,ルーラーシップ,0,0,2,5,7,0.0,0.0,28.6,0.0,104.0
jockey_w,丹内祐次,2,0,0,5,7,28.6,28.6,28.6,200.0,94.0
jockey_w,西村淳也,1,0,1,4,6,16.7,16.7,33.3,91.0,78.0
jockey_w,富田暁,1,0,1,3,5,20.0,20.0,40.0,219.0,123.0
jockey_w,浜中俊,1,0,0,2,3,33.3,33.3,33.3,106.0,77.0
jockey_w,幸英明,1,0,1,1,3,33.3,33.3,66.7,121.0,102.0
jockey_w,菱田裕二,1,1,0,0,2,50.0,100.0,100.0,258.0,245.0
jockey_w,今村聖奈,1,0,0,1,2,50.0,50.0,50.0,329.0,125.0
jockey_w,吉田隼人,1,0,0,1,2,50.0,50.0,50.0,153.0,89.0
jockey_w,勝浦正樹,1,1,0,0,2,50.0,100.0,100.0,353.0,216.0
jockey_w,松本大輝,0,0,0,6,6,0.0,0.0,0.0,0.0,0.0
frame,1枠,2,3,0,5,10,20.0,50.0,50.0,108.0,126.0
frame,2枠,1,1,2,6,10,10.0,20.0,40.0,154.0,161.0
frame,3枠,1,1,2,7,11,9.1,18.2,36.4,62.0,80.0
frame,4枠,2,1,0,11,14,14.3,21.4,21.4,117.0,81.0
frame,5枠,2,0,3,11,16,12.5,12.5,31.2,115.0,118.0
frame,6枠,1,2,2,13,18,5.6,16.7,27.8,47.0,68.0
frame,7枠,0,1,1,17,19,0.0,5.3,10.5,0.0,32.0
frame,8枠,1,1,0,17,19,5.3,10.5,10.5,70.0,45.0
averunningstyle,逃げ,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0
averunningstyle,先行,3,4,1,19,27,11.1,25.9,29.6,64.0,82.0
averunningstyle,差し,1,0,0,4,5,20.0,20.0,20.0,80.0,49.0
averunningstyle,追込,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,500m以上延長,4,6,7,47,64,6.2,15.6,26.6,66.0,95.0
distance,300m-400m延長,1,1,2,5,9,11.1,22.2,44.4,100.0,134.0
distance,100m-200m延長,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
distance,距離変更なし,4,3,1,20,28,14.3,25.0,28.6,98.0,76.0
distance,100m-200m短縮,1,0,0,12,13,7.7,7.7,7.7,76.0,31.0
distance,300m-400m短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,500m以上短縮,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
surface,ダ→ダ,8,10,9,74,101,7.9,17.8,26.7,74.0,87.0
surface,芝→ダ,2,0,1,12,15,13.3,13.3,20.0,116.0,64.0
stable_trainer,美浦,6,2,3,22,33,18.2,24.2,33.3,176.0,104.0
stable_trainer,栗東,4,8,7,65,84,4.8,14.3,22.6,43.0,76.0
