factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,225,225,226,2294,2970,7.6,15.2,22.8,79.0,81.0
father_w,エピファネイア,17,19,10,104,150,11.3,24.0,30.7,82.0,86.0
father_w,ディープインパクト,17,15,10,91,133,12.8,24.1,31.6,79.0,79.0
father_w,モーリス,13,9,7,85,114,11.4,19.3,25.4,83.0,71.0
father_w,ドゥラメンテ,12,10,14,77,113,10.6,19.5,31.9,86.0,88.0
father_w,ロードカナロア,11,6,8,82,107,10.3,15.9,23.4,92.0,80.0
father_w,キタサンブラック,11,4,4,37,56,19.6,26.8,33.9,128.0,75.0
father_w,キズナ,10,10,14,91,125,8.0,16.0,27.2,65.0,76.0
father_w,ルーラーシップ,8,8,10,98,124,6.5,12.9,21.0,70.0,83.0
father_w,ゴールドシップ,6,2,5,59,72,8.3,11.1,18.1,114.0,87.0
father_w,スクリーンヒーロー,6,3,1,39,49,12.2,18.4,20.4,136.0,76.0
jockey_w,西村淳也,16,13,14,69,112,14.3,25.9,38.4,115.0,105.0
jockey_w,川田将雅,16,10,5,14,45,35.6,57.8,68.9,86.0,87.0
jockey_w,松山弘平,13,9,8,46,76,17.1,28.9,39.5,75.0,65.0
jockey_w,藤岡佑介,10,1,4,32,47,21.3,23.4,31.9,144.0,78.0
jockey_w,福永祐一,10,6,4,9,29,34.5,55.2,69.0,114.0,101.0
jockey_w,吉田隼人,9,7,6,46,68,13.2,23.5,32.4,73.0,66.0
jockey_w,丹内祐次,8,13,7,62,90,8.9,23.3,31.1,74.0,84.0
jockey_w,和田竜二,8,4,9,50,71,11.3,16.9,29.6,116.0,93.0
jockey_w,鮫島克駿,7,8,11,50,76,9.2,19.7,34.2,55.0,74.0
jockey_w,坂井瑠星,7,12,5,25,49,14.3,38.8,49.0,61.0,85.0
frame,1枠,18,27,25,238,308,5.8,14.6,22.7,59.0,75.0
frame,2枠,26,23,17,259,325,8.0,15.1,20.3,86.0,72.0
frame,3枠,29,23,24,271,347,8.4,15.0,21.9,81.0,73.0
frame,4枠,20,30,36,282,368,5.4,13.6,23.4,60.0,81.0
frame,5枠,35,19,30,302,386,9.1,14.0,21.8,86.0,77.0
frame,6枠,31,38,30,299,398,7.8,17.3,24.9,83.0,91.0
frame,7枠,36,38,28,316,418,8.6,17.7,24.4,93.0,89.0
frame,8枠,30,27,36,327,420,7.1,13.6,22.1,82.0,86.0
averunningstyle,逃げ,10,11,10,96,127,7.9,16.5,24.4,75.0,82.0
averunningstyle,先行,103,95,87,688,973,10.6,20.3,29.3,82.0,81.0
averunningstyle,差し,32,30,25,107,194,16.5,32.0,44.8,78.0,87.0
averunningstyle,追込,5,2,2,4,13,38.5,53.8,69.2,187.0,132.0
distance,500m以上延長,2,3,4,140,149,1.3,3.4,6.0,69.0,49.0
distance,300m-400m延長,9,8,9,152,178,5.1,9.6,14.6,89.0,79.0
distance,100m-200m延長,52,46,49,424,571,9.1,17.2,25.7,84.0,90.0
distance,距離変更なし,87,96,84,755,1022,8.5,17.9,26.1,78.0,80.0
distance,100m-200m短縮,46,42,51,486,625,7.4,14.1,22.2,79.0,76.0
distance,300m-400m短縮,2,4,3,47,56,3.6,10.7,16.1,39.0,78.0
distance,500m以上短縮,3,1,1,42,47,6.4,8.5,10.6,129.0,59.0
surface,芝→芝,197,189,190,1776,2352,8.4,16.4,24.5,81.0,82.0
surface,ダ→芝,4,11,11,267,293,1.4,5.1,8.9,41.0,64.0
stable_trainer,美浦,28,31,31,507,597,4.7,9.9,15.1,80.0,75.0
stable_trainer,栗東,197,194,195,1786,2372,8.3,16.5,24.7,79.0,82.0
