course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
京都芝1200m,,,,,新馬: 1:10.5 / 未勝利: 1:09.0,1勝: 1:08.5 / 2勝: 1:08.3,3勝: 1:07.8 / 重賞OP: 1:08.0,,"ロードカナロア(勝8.6%/複23.5%), ビッグアーサー(勝9.1%/複25.8%), ファインニードル(勝14.6%/複19.5%), モーリス(勝10.2%/複26.5%), リオンディーズ(勝8.6%/複22.9%), シルバーステート(勝10.7%/複14.3%), サトノダイヤモンド(勝13.6%/複31.8%), アジアエクスプレス(勝23.1%/複53.8%), スクリーンヒーロー(勝23.1%/複53.8%), イスラボニータ(勝9.1%/複22.7%), カレンブラックヒル(勝16.7%/複25.0%), タリスマニック(勝18.2%/複54.5%), エイシンヒカリ(勝20.0%/複50.0%), マクフィ(勝20.0%/複20.0%), ルーラーシップ(勝4.0%/複16.0%), キズナ(勝4.5%/複13.6%), エピファネイア(勝5.0%/複10.0%), キタサンブラック(勝5.3%/複26.3%)","ディープインパクト(勝8.7%/複29.3%), マンハッタンカフェ(勝26.1%/複43.5%), シンボリクリスエス(勝21.7%/複39.1%), サクラバクシンオー(勝11.8%/複23.5%), クロフネ(勝11.1%/複25.9%), ダンスインザダーク(勝11.5%/複38.5%), ダイワメジャー(勝5.9%/複11.8%), ハーツクライ(勝6.1%/複18.2%), ルーラーシップ(勝18.2%/複36.4%), キングカメハメハ(勝2.5%/複10.0%), キングヘイロー(勝4.8%/複19.0%), ロードカナロア(勝6.2%/複12.5%), アドマイヤムーン(勝7.1%/複7.1%), スペシャルウィーク(勝7.7%/複23.1%), ハービンジャー(勝7.7%/複15.4%)",100m-200m延長(勝0.0%/複0.0%) / 距離同距離(勝7.8%/複21.8%) / 100m-200m短縮(勝5.2%/複19.8%) / 300m-400m短縮(勝5.0%/複18.3%) / 500m+短縮(勝0.0%/複0.0%),ダ→芝(勝4.9%/複15.7%) / ダ→芝(勝7.1%/複14.3%),昇級(勝6.9%/複18.8%) / 降級(勝10.0%/複25.0%) / 昇級(勝6.2%/複18.8%)
京都芝1400m（内回り）,,,,,新馬: 1:22.4 / 未勝利: 1:21.4,-,-,,"モーリス(勝20.0%/複26.7%), ロードカナロア(勝7.1%/複21.4%), エピファネイア(勝8.0%/複24.0%), シルバーステート(勝8.7%/複21.7%), ビッグアーサー(勝9.1%/複13.6%), リオンディーズ(勝10.5%/複26.3%), タワーオブロンドン(勝11.8%/複41.2%), リアルスティール(勝15.4%/複23.1%), イスラボニータ(勝5.3%/複26.3%), ブリックスアンドモルタル(勝5.3%/複10.5%), ファインニードル(勝5.9%/複23.5%), ダイワメジャー(勝8.3%/複16.7%), キズナ(勝9.1%/複27.3%), アメリカンペイトリオット(勝10.0%/複40.0%), サトノアラジン(勝10.0%/複30.0%), モズアスコット(勝10.0%/複20.0%), レイデオロ(勝10.0%/複10.0%)","ディープインパクト(勝10.6%/複21.3%), ロードカナロア(勝7.4%/複14.8%), ハーツクライ(勝11.8%/複23.5%), ハービンジャー(勝20.0%/複40.0%), アグネスタキオン(勝7.1%/複21.4%), サクラバクシンオー(勝7.7%/複38.5%)",300m-400m延長(勝0.0%/複0.0%) / 100m-200m延長(勝5.6%/複17.7%) / 距離同距離(勝8.4%/複25.2%) / 100m-200m短縮(勝8.6%/複24.9%) / 300m-400m短縮(勝4.2%/複10.4%) / 500m+短縮(勝0.0%/複14.3%),ダ→芝(勝2.5%/複7.5%) / ダ→芝(勝0.0%/複0.0%),昇級(勝13.0%/複32.9%) / 降級(勝8.9%/複31.1%) / 昇級(勝8.3%/複20.8%) / 降級(勝0.0%/複28.6%)
京都芝1400m（外回り）,,,,,-,1勝: 1:21.3 / 2勝: 1:21.0,3勝: 1:20.9 / 重賞OP: 1:20.9,,"ロードカナロア(勝9.3%/複24.4%), モーリス(勝11.7%/複30.0%), キタサンブラック(勝23.8%/複47.6%), キズナ(勝7.8%/複21.6%), ダイワメジャー(勝7.5%/複20.0%), ミッキーアイル(勝8.6%/複31.4%), シルバーステート(勝9.1%/複33.3%), ビッグアーサー(勝9.1%/複21.2%), ドゥラメンテ(勝10.7%/複21.4%), サトノアラジン(勝21.4%/複35.7%), リアルインパクト(勝30.0%/複30.0%), イスラボニータ(勝11.1%/複27.8%), ブリックスアンドモルタル(勝11.1%/複16.7%), ハービンジャー(勝13.3%/複13.3%), ファインニードル(勝13.3%/複26.7%), サトノクラウン(勝15.4%/複15.4%)","ディープインパクト(勝6.4%/複19.1%), キングカメハメハ(勝9.5%/複27.0%), ハーツクライ(勝17.1%/複31.4%), クロフネ(勝9.1%/複21.2%), アグネスタキオン(勝14.3%/複38.1%), マンハッタンカフェ(勝14.3%/複14.3%), Sinndar(勝12.5%/複37.5%), ロードカナロア(勝18.2%/複27.3%), ダンスインザダーク(勝4.2%/複25.0%), フジキセキ(勝4.2%/複12.5%), サクラバクシンオー(勝4.5%/複13.6%), シンボリクリスエス(勝5.6%/複22.2%)",300m-400m延長(勝0.0%/複0.0%) / 100m-200m延長(勝5.6%/複17.7%) / 距離同距離(勝8.4%/複25.2%) / 100m-200m短縮(勝8.6%/複24.9%) / 300m-400m短縮(勝4.2%/複10.4%) / 500m+短縮(勝0.0%/複14.3%),ダ→芝(勝2.5%/複7.5%) / ダ→芝(勝0.0%/複0.0%),昇級(勝13.0%/複32.9%) / 降級(勝8.9%/複31.1%) / 昇級(勝8.3%/複20.8%) / 降級(勝0.0%/複28.6%)
京都芝1600m（内回り）,,,,,新馬: 1:35.6 / 未勝利: 1:34.6,1勝: 1:34.1,-,,"エピファネイア(勝14.0%/複37.2%), キズナ(勝14.9%/複35.8%), ロードカナロア(勝12.9%/複25.7%), モーリス(勝12.3%/複38.6%), キタサンブラック(勝12.8%/複35.9%), イスラボニータ(勝14.3%/複25.7%), リアルスティール(勝10.8%/複24.3%), ミッキーアイル(勝11.8%/複20.6%), シルバーステート(勝7.7%/複35.9%), リオンディーズ(勝4.8%/複21.4%), サートゥルナーリア(勝7.1%/複14.3%), ダイワメジャー(勝7.1%/複14.3%), ルーラーシップ(勝7.4%/複22.2%), アドマイヤマーズ(勝9.1%/複31.8%), ジャスタウェイ(勝10.5%/複21.1%), ロジャーバローズ(勝14.3%/複42.9%), サンダースノー(勝18.2%/複36.4%), ポエティックフレア(勝18.2%/複54.5%), リアルインパクト(勝20.0%/複40.0%)","ディープインパクト(勝8.8%/複21.2%), キングカメハメハ(勝6.4%/複17.9%), ハーツクライ(勝10.0%/複32.5%), ゼンノロブロイ(勝19.0%/複23.8%), マンハッタンカフェ(勝13.0%/複26.1%), フジキセキ(勝15.8%/複31.6%), スクリーンヒーロー(勝27.3%/複36.4%), エンパイアメーカー(勝5.9%/複20.6%), シンボリクリスエス(勝6.9%/複24.1%), クロフネ(勝7.4%/複18.5%), ステイゴールド(勝8.0%/複24.0%), ノヴェリスト(勝11.1%/複27.8%), Galileo(勝11.8%/複35.3%), ブライアンズタイム(勝11.8%/複41.2%), スペシャルウィーク(勝14.3%/複35.7%), キングヘイロー(勝16.7%/複16.7%), ルーラーシップ(勝16.7%/複41.7%), Tapit(勝18.2%/複36.4%)",300m-400m延長(勝2.4%/複14.3%) / 100m-200m延長(勝5.4%/複16.8%) / 距離同距離(勝9.0%/複27.3%) / 100m-200m短縮(勝9.0%/複20.2%) / 300m-400m短縮(勝5.8%/複28.8%) / 500m+短縮(勝0.0%/複9.1%),ダ→芝(勝1.9%/複11.1%) / ダ→芝(勝0.0%/複4.5%),昇級(勝13.4%/複34.3%) / 降級(勝14.3%/複33.3%) / 昇級(勝5.0%/複20.0%) / 降級(勝0.0%/複0.0%)
京都芝1600m（外回り）,,,,,-,1勝: 1:33.9 / 2勝: 1:33.6,3勝: 1:33.2 / 重賞OP: 1:33.2,,"ロードカナロア(勝10.1%/複21.7%), イスラボニータ(勝46.7%/複60.0%), モーリス(勝10.3%/複25.9%), リオンディーズ(勝13.6%/複43.2%), キズナ(勝7.7%/複16.9%), ルーラーシップ(勝11.9%/複28.6%), エピファネイア(勝7.0%/複24.6%), ディープインパクト(勝7.1%/複26.2%), ハービンジャー(勝13.0%/複21.7%), ヴィクトワールピサ(勝20.0%/複33.3%), キタサンブラック(勝6.1%/複30.3%), ダイワメジャー(勝6.9%/複17.2%), ブリックスアンドモルタル(勝10.5%/複31.6%), サートゥルナーリア(勝15.4%/複38.5%), サトノダイヤモンド(勝15.4%/複38.5%), ハーツクライ(勝2.6%/複20.5%), リアルスティール(勝4.5%/複22.7%), ミッキーアイル(勝6.7%/複46.7%), サトノアラジン(勝7.1%/複28.6%)","ディープインパクト(勝10.2%/複22.8%), キングカメハメハ(勝9.5%/複17.5%), ゼンノロブロイ(勝16.7%/複40.0%), マンハッタンカフェ(勝16.7%/複50.0%), Galileo(勝40.0%/複50.0%), ブライアンズタイム(勝14.3%/複28.6%), クロフネ(勝8.3%/複29.2%), ハーツクライ(勝10.0%/複25.0%), ダイワメジャー(勝12.5%/複25.0%), シンボリクリスエス(勝18.2%/複18.2%), ウォーエンブレム(勝5.6%/複22.2%), ジャングルポケット(勝5.6%/複33.3%), サクラバクシンオー(勝5.9%/複11.8%), スウェプトオーヴァーボード(勝5.9%/複29.4%), ヴィクトワールピサ(勝7.7%/複38.5%), Monsun(勝8.3%/複16.7%), チチカステナンゴ(勝9.1%/複36.4%)",300m-400m延長(勝2.4%/複14.3%) / 100m-200m延長(勝5.4%/複16.8%) / 距離同距離(勝9.0%/複27.3%) / 100m-200m短縮(勝9.0%/複20.2%) / 300m-400m短縮(勝5.8%/複28.8%) / 500m+短縮(勝0.0%/複9.1%),ダ→芝(勝1.9%/複11.1%) / ダ→芝(勝0.0%/複4.5%),昇級(勝13.4%/複34.3%) / 降級(勝14.3%/複33.3%) / 昇級(勝5.0%/複20.0%) / 降級(勝0.0%/複0.0%)
京都芝1800m,,,,,新馬: 1:49.1 / 未勝利: 1:47.5,1勝: 1:46.7 / 2勝: 1:46.6,3勝: 1:45.5 / 重賞OP: 1:46.1,,"キズナ(勝10.7%/複30.4%), ロードカナロア(勝13.8%/複29.9%), エピファネイア(勝11.5%/複33.3%), キタサンブラック(勝14.7%/複38.2%), ドゥラメンテ(勝12.7%/複39.4%), サトノダイヤモンド(勝14.0%/複29.8%), モーリス(勝9.7%/複33.9%), レイデオロ(勝11.1%/複33.3%), サートゥルナーリア(勝11.9%/複23.8%), ディープインパクト(勝15.6%/複43.8%), ハーツクライ(勝10.0%/複17.5%), スワーヴリチャード(勝12.5%/複37.5%), リオンディーズ(勝13.8%/複27.6%), リアルスティール(勝5.8%/複28.8%), ブリックスアンドモルタル(勝7.7%/複28.2%), シルバーステート(勝8.8%/複23.5%), オルフェーヴル(勝12.0%/複16.0%), コントレイル(勝16.7%/複22.2%), ゴールドシップ(勝8.3%/複20.8%)","ディープインパクト(勝11.0%/複35.8%), キングカメハメハ(勝8.5%/複27.7%), シンボリクリスエス(勝17.2%/複27.6%), Galileo(勝26.7%/複46.7%), クロフネ(勝6.4%/複23.4%), ジャングルポケット(勝7.1%/複21.4%), ハーツクライ(勝7.3%/複12.2%), ハービンジャー(勝7.9%/複34.2%), マンハッタンカフェ(勝8.6%/複14.3%), ロードカナロア(勝15.8%/複47.4%), フレンチデピュティ(勝16.7%/複22.2%), オルフェーヴル(勝20.0%/複53.3%), アグネスタキオン(勝6.1%/複12.1%), ルーラーシップ(勝7.4%/複33.3%), ヴィクトワールピサ(勝8.3%/複29.2%), エンパイアメーカー(勝9.5%/複28.6%), ダンスインザダーク(勝10.0%/複20.0%), Monsun(勝12.5%/複31.2%)",500m+延長(勝0.0%/複4.8%) / 300m-400m延長(勝4.9%/複16.0%) / 100m-200m延長(勝8.1%/複23.9%) / 距離同距離(勝11.1%/複33.6%) / 100m-200m短縮(勝7.4%/複24.1%) / 300m-400m短縮(勝8.6%/複25.7%) / 500m+短縮(勝8.8%/複14.7%),ダ→芝(勝1.9%/複9.5%) / ダ→芝(勝3.6%/複10.7%),昇級(勝14.1%/複33.3%) / 降級(勝18.9%/複45.9%) / 昇級(勝5.6%/複33.3%)
京都芝2000m,,,,,新馬: 2:02.7 / 未勝利: 2:01.1,1勝: 2:00.3 / 2勝: 1:59.9,3勝: 2:00.3 / 重賞OP: 1:59.3,,"キズナ(勝18.5%/複28.6%), エピファネイア(勝10.4%/複29.6%), キタサンブラック(勝15.6%/複40.3%), レイデオロ(勝13.2%/複26.4%), サトノダイヤモンド(勝13.0%/複26.1%), ロードカナロア(勝16.2%/複35.1%), ゴールドシップ(勝6.9%/複16.7%), ジャスタウェイ(勝17.9%/複39.3%), ハービンジャー(勝5.0%/複37.5%), ドゥラメンテ(勝5.6%/複26.8%), リアルスティール(勝11.1%/複33.3%), コントレイル(勝11.8%/複29.4%), ディープインパクト(勝13.3%/複33.3%), オルフェーヴル(勝7.5%/複42.5%), ブリックスアンドモルタル(勝7.5%/複37.5%), シルバーステート(勝8.3%/複27.8%), ルーラーシップ(勝3.1%/複26.2%), サートゥルナーリア(勝4.0%/複30.0%), モーリス(勝4.2%/複14.6%)","ディープインパクト(勝10.2%/複33.0%), キングカメハメハ(勝9.8%/複29.3%), ハーツクライ(勝11.3%/複28.3%), マンハッタンカフェ(勝14.0%/複37.2%), クロフネ(勝8.3%/複28.3%), Galileo(勝22.2%/複38.9%), Bellamy Road(勝36.4%/複54.5%), ハービンジャー(勝6.1%/複34.7%), ダイワメジャー(勝7.1%/複11.9%), シンボリクリスエス(勝8.3%/複16.7%), ルーラーシップ(勝10.7%/複25.0%), Frankel(勝20.0%/複46.7%), フレンチデピュティ(勝20.0%/複40.0%), Champs Elysees(勝25.0%/複50.0%), ヴィクトワールピサ(勝7.7%/複26.9%), スペシャルウィーク(勝11.8%/複35.3%), ネオユニヴァース(勝11.8%/複17.6%), ロードカナロア(勝15.4%/複53.8%), Storm Cat(勝18.2%/複45.5%)",500m+延長(勝0.0%/複3.0%) / 300m-400m延長(勝8.1%/複18.2%) / 100m-200m延長(勝7.3%/複23.5%) / 距離同距離(勝10.1%/複30.7%) / 100m-200m短縮(勝15.4%/複32.3%) / 300m-400m短縮(勝9.6%/複32.7%) / 500m+短縮(勝3.3%/複16.7%),ダ→芝(勝2.8%/複12.3%) / ダ→芝(勝4.3%/複21.7%),昇級(勝10.5%/複27.6%) / 降級(勝8.8%/複32.4%) / 昇級(勝8.2%/複23.0%) / 降級(勝18.8%/複37.5%)
京都芝2200m,,,,,未勝利: 2:15.3,1勝: 2:13.3 / 2勝: 2:13.7,3勝: 2:13.6 / 重賞OP: 2:12.5,,"キズナ(勝16.0%/複44.0%), ゴールドシップ(勝11.4%/複22.9%), ハーツクライ(勝11.8%/複32.4%), エピファネイア(勝7.9%/複18.4%), ドゥラメンテ(勝8.3%/複25.0%), キタサンブラック(勝9.7%/複38.7%), サトノダイヤモンド(勝13.0%/複26.1%), ディープインパクト(勝18.8%/複31.2%), スワーヴリチャード(勝20.0%/複33.3%), ハービンジャー(勝4.9%/複19.5%), オルフェーヴル(勝8.7%/複30.4%), ジャスタウェイ(勝11.8%/複47.1%), キングカメハメハ(勝5.9%/複23.5%), リアルスティール(勝6.2%/複25.0%), レイデオロ(勝6.7%/複13.3%), シルバーステート(勝7.7%/複23.1%), ロードカナロア(勝8.3%/複33.3%)","クロフネ(勝14.3%/複28.6%), ディープインパクト(勝4.3%/複25.5%), キングカメハメハ(勝5.3%/複31.6%), ハーツクライ(勝8.0%/複16.0%), シンボリクリスエス(勝11.8%/複17.6%), ハービンジャー(勝11.8%/複23.5%), Galileo(勝12.5%/複37.5%), フレンチデピュティ(勝16.7%/複41.7%), フジキセキ(勝8.3%/複16.7%)",500m+延長(勝9.5%/複23.8%) / 300m-400m延長(勝6.7%/複20.0%) / 100m-200m延長(勝6.4%/複24.5%) / 距離同距離(勝10.5%/複33.7%) / 100m-200m短縮(勝10.5%/複29.5%) / 300m-400m短縮(勝9.7%/複16.1%) / 500m+短縮(勝12.5%/複12.5%),ダ→芝(勝4.4%/複11.1%) / ダ→芝(勝0.0%/複0.0%),昇級(勝7.9%/複30.3%) / 降級(勝43.8%/複50.0%) / 昇級(勝4.3%/複30.4%) / 降級(勝0.0%/複37.5%)
京都芝2400m,,,,,未勝利: 2:27.0,1勝: 2:26.3 / 2勝: 2:25.8,3勝: 2:24.6 / 重賞OP: 2:24.3,,"キズナ(勝15.6%/複37.5%), エピファネイア(勝18.8%/複37.5%), ゴールドシップ(勝9.3%/複32.6%), ドゥラメンテ(勝14.8%/複18.5%), ディープインパクト(勝21.1%/複31.6%), ハービンジャー(勝6.9%/複20.7%), レイデオロ(勝7.7%/複23.1%), ハーツクライ(勝10.5%/複31.6%), キタサンブラック(勝12.5%/複37.5%), ブリックスアンドモルタル(勝20.0%/複30.0%), シルバーステート(勝6.2%/複25.0%), キングカメハメハ(勝8.3%/複25.0%), モーリス(勝9.1%/複18.2%)","キングカメハメハ(勝7.5%/複25.0%), ディープインパクト(勝4.1%/複26.5%), タニノギムレット(勝16.7%/複25.0%), ハーツクライ(勝5.3%/複15.8%), クロフネ(勝5.9%/複23.5%), ジャングルポケット(勝7.7%/複15.4%), シンボリクリスエス(勝7.7%/複15.4%), ハービンジャー(勝7.7%/複23.1%), ブライアンズタイム(勝7.7%/複30.8%), エンパイアメーカー(勝9.1%/複27.3%), Monsun(勝10.0%/複30.0%), ステイゴールド(勝10.0%/複20.0%)",500m+延長(勝2.8%/複14.1%) / 300m-400m延長(勝6.8%/複21.4%) / 100m-200m延長(勝10.8%/複30.6%) / 距離同距離(勝13.2%/複30.7%) / 100m-200m短縮(勝8.3%/複28.3%) / 500m+短縮(勝0.0%/複21.7%),ダ→芝(勝0.0%/複7.1%) / ダ→芝(勝0.0%/複7.7%),昇級(勝14.3%/複42.9%) / 降級(勝11.1%/複22.2%) / 昇級(勝8.0%/複16.0%)
京都芝3000m,,,,,-,-,3勝: 3:05.1 / 重賞OP: 3:04.1,,"エピファネイア(勝9.1%/複18.2%), ゴールドシップ(勝9.1%/複36.4%), キズナ(勝0.0%/複23.1%)",ディープインパクト(勝20.0%/複30.0%),500m+延長(勝7.9%/複20.2%) / 300m-400m延長(勝0.0%/複22.2%),-,昇級(勝7.7%/複19.2%) / 降級(勝0.0%/複25.0%)
