course_name,fav_win_rate,longshot_place_rate,extreme_longshot_place_rate,upset_score,upset_rank
京都芝1200m,29.6,15.9,5.6,22.5,S
京都芝1400m（内回り）,21.6,17.5,8.0,36.9,S
京都芝1400m（外回り）,21.6,17.5,8.0,36.9,S
京都芝1600m（内回り）,32.4,15.7,4.9,18.1,A
京都芝1600m（外回り）,32.4,15.7,4.9,18.1,A
京都芝1800m,34.1,11.7,4.4,11.4,B
京都芝2000m,36.8,13.6,3.6,9.0,C
京都芝2200m,42.6,15.6,2.0,1.9,C
京都芝2400m,39.0,12.6,5.4,9.4,C
京都芝3000m,14.3,14.3,2.4,29.8,S
京都芝3200m,66.7,25.0,0.0,-16.7,C
京都ダート1200m,32.9,13.9,4.5,15.0,A
京都ダート1400m,32.4,14.6,3.9,15.0,A
京都ダート1800m,37.5,15.6,5.2,13.5,B
京都ダート1900m,34.9,15.4,3.6,12.8,B
