factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,213,214,212,2444,3083,6.9,13.9,20.7,78.0,82.0
father_w,マジェスティックウォリアー,10,5,4,80,99,10.1,15.2,19.2,122.0,81.0
father_w,シニスターミニスター,9,8,14,62,93,9.7,18.3,33.3,83.0,100.0
father_w,ドレフォン,8,8,11,89,116,6.9,13.8,23.3,66.0,83.0
father_w,ヘニーヒューズ,8,5,3,62,78,10.3,16.7,20.5,95.0,72.0
father_w,ロードカナロア,7,2,7,56,72,9.7,12.5,22.2,98.0,86.0
father_w,モーリス,7,3,6,43,59,11.9,16.9,27.1,96.0,85.0
father_w,ミッキーアイル,7,9,1,38,55,12.7,29.1,30.9,118.0,111.0
father_w,ダノンレジェンド,7,1,5,34,47,14.9,17.0,27.7,151.0,84.0
father_w,キズナ,6,5,2,34,47,12.8,23.4,27.7,101.0,80.0
father_w,ダイワメジャー,6,6,3,31,46,13.0,26.1,32.6,126.0,103.0
jockey_w,坂井瑠星,25,13,9,52,99,25.3,38.4,47.5,133.0,100.0
jockey_w,岩田望来,16,8,11,89,124,12.9,19.4,28.2,87.0,75.0
jockey_w,松山弘平,16,15,12,55,98,16.3,31.6,43.9,85.0,101.0
jockey_w,武豊,11,6,3,39,59,18.6,28.8,33.9,97.0,76.0
jockey_w,川田将雅,11,9,8,23,51,21.6,39.2,54.9,71.0,80.0
jockey_w,団野大成,9,5,7,95,116,7.8,12.1,18.1,91.0,63.0
jockey_w,北村友一,9,3,8,47,67,13.4,17.9,29.9,151.0,114.0
jockey_w,吉村誠之助,8,8,5,82,103,7.8,15.5,20.4,120.0,98.0
jockey_w,高杉吏麒,7,13,8,38,66,10.6,30.3,42.4,92.0,105.0
jockey_w,西村淳也,6,6,14,70,96,6.2,12.5,27.1,55.0,66.0
frame,1枠,21,25,23,261,330,6.4,13.9,20.9,78.0,91.0
frame,2枠,21,22,23,283,349,6.0,12.3,18.9,72.0,82.0
frame,3枠,20,17,26,308,371,5.4,10.0,17.0,70.0,74.0
frame,4枠,27,30,27,304,388,7.0,14.7,21.6,74.0,87.0
frame,5枠,35,22,35,310,402,8.7,14.2,22.9,94.0,79.0
frame,6枠,25,31,23,334,413,6.1,13.6,19.1,68.0,76.0
frame,7枠,34,31,22,327,414,8.2,15.7,21.0,90.0,81.0
frame,8枠,30,36,33,317,416,7.2,15.9,23.8,78.0,86.0
averunningstyle,逃げ,12,15,6,111,144,8.3,18.8,22.9,75.0,79.0
averunningstyle,先行,115,104,109,828,1156,9.9,18.9,28.4,80.0,86.0
averunningstyle,差し,23,16,21,136,196,11.7,19.9,30.6,84.0,73.0
averunningstyle,追込,5,1,3,11,20,25.0,30.0,45.0,99.0,85.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,1,1,1,42,45,2.2,4.4,6.7,95.0,62.0
distance,100m-200m延長,32,24,35,459,550,5.8,10.2,16.5,90.0,79.0
distance,距離変更なし,121,136,121,1038,1416,8.5,18.1,26.7,75.0,84.0
distance,100m-200m短縮,16,11,12,171,210,7.6,12.9,18.6,91.0,87.0
distance,300m-400m短縮,21,16,19,371,427,4.9,8.7,13.1,85.0,76.0
distance,500m以上短縮,0,0,2,39,41,0.0,0.0,4.9,0.0,36.0
surface,ダ→ダ,163,170,167,1761,2261,7.2,14.7,22.1,77.0,81.0
surface,芝→ダ,28,18,23,358,427,6.6,10.8,16.2,94.0,86.0
stable_trainer,美浦,10,8,13,154,185,5.4,9.7,16.8,87.0,84.0
stable_trainer,栗東,203,206,199,2290,2898,7.0,14.1,21.0,78.0,82.0
