factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,47,47,47,417,558,8.4,16.8,25.3,79.0,80.0
father_w,キズナ,6,7,5,25,43,14.0,30.2,41.9,106.0,109.0
father_w,ハーツクライ,4,2,5,21,32,12.5,18.8,34.4,98.0,94.0
father_w,ゴールドシップ,4,1,1,24,30,13.3,16.7,20.0,133.0,85.0
father_w,ドゥラメンテ,3,3,3,26,35,8.6,17.1,25.7,67.0,63.0
father_w,エピファネイア,3,2,0,23,28,10.7,17.9,17.9,130.0,84.0
father_w,サトノダイヤモンド,3,1,2,14,20,15.0,20.0,30.0,103.0,76.0
father_w,ディープインパクト,3,2,0,10,15,20.0,33.3,33.3,120.0,73.0
father_w,スワーヴリチャード,3,2,0,8,13,23.1,38.5,38.5,92.0,76.0
father_w,ハービンジャー,2,4,2,28,36,5.6,16.7,22.2,45.0,65.0
father_w,オルフェーヴル,2,2,3,16,23,8.7,17.4,30.4,124.0,110.0
jockey_w,岩田望来,6,5,2,13,26,23.1,42.3,50.0,134.0,113.0
jockey_w,川田将雅,6,3,5,4,18,33.3,50.0,77.8,106.0,113.0
jockey_w,C.ルメール,4,1,0,8,13,30.8,38.5,38.5,108.0,58.0
jockey_w,松山弘平,3,4,2,17,26,11.5,26.9,34.6,74.0,77.0
jockey_w,池添謙一,3,1,2,13,19,15.8,21.1,31.6,125.0,92.0
jockey_w,坂井瑠星,2,2,3,16,23,8.7,17.4,30.4,57.0,78.0
jockey_w,団野大成,2,1,3,12,18,11.1,16.7,33.3,119.0,64.0
jockey_w,藤岡佑介,2,3,1,6,12,16.7,41.7,50.0,143.0,121.0
jockey_w,高杉吏麒,2,2,1,5,10,20.0,40.0,50.0,110.0,85.0
jockey_w,藤岡康太,2,2,1,4,9,22.2,44.4,55.6,110.0,109.0
frame,1枠,6,7,7,35,55,10.9,23.6,36.4,85.0,98.0
frame,2枠,5,4,7,44,60,8.3,15.0,26.7,75.0,75.0
frame,3枠,7,8,4,42,61,11.5,24.6,31.1,118.0,107.0
frame,4枠,3,4,8,49,64,4.7,10.9,23.4,37.0,65.0
frame,5枠,5,8,3,57,73,6.8,17.8,21.9,61.0,78.0
frame,6枠,5,5,8,58,76,6.6,13.2,23.7,72.0,81.0
frame,7枠,6,4,5,68,83,7.2,12.0,18.1,68.0,61.0
frame,8枠,10,7,5,64,86,11.6,19.8,25.6,126.0,84.0
averunningstyle,逃げ,1,2,3,6,12,8.3,25.0,50.0,90.0,147.0
averunningstyle,先行,22,21,20,134,197,11.2,21.8,32.0,85.0,91.0
averunningstyle,差し,14,9,10,55,88,15.9,26.1,37.5,100.0,88.0
averunningstyle,追込,0,1,1,8,10,0.0,10.0,20.0,0.0,23.0
distance,500m以上延長,2,2,1,16,21,9.5,19.0,23.8,220.0,139.0
distance,300m-400m延長,7,8,6,84,105,6.7,14.3,20.0,85.0,78.0
distance,100m-200m延長,13,18,19,154,204,6.4,15.2,24.5,57.0,75.0
distance,距離変更なし,9,6,14,57,86,10.5,17.4,33.7,81.0,87.0
distance,100m-200m短縮,10,12,6,67,95,10.5,23.2,29.5,79.0,85.0
distance,300m-400m短縮,3,1,1,26,31,9.7,12.9,16.1,93.0,54.0
distance,500m以上短縮,1,0,0,7,8,12.5,12.5,12.5,375.0,120.0
surface,芝→芝,43,45,46,369,503,8.5,17.5,26.6,75.0,81.0
surface,ダ→芝,2,2,1,40,45,4.4,8.9,11.1,102.0,59.0
stable_trainer,美浦,5,2,4,55,66,7.6,10.6,16.7,90.0,71.0
stable_trainer,栗東,42,45,43,362,492,8.5,17.7,26.4,77.0,81.0
