course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
中山芝1200m,,,,,新馬: 1:09.9 / 未勝利: 1:09.3,1勝: 1:08.9 / 2勝: 1:08.1,3勝: 1:07.1 / 重賞OP: 1:07.8,,"ロードカナロア(勝9.6%/複24.0%), ビッグアーサー(勝9.2%/複24.5%), ミッキーアイル(勝10.7%/複28.0%), モーリス(勝14.9%/複34.0%), シルバーステート(勝9.1%/複21.8%), アドマイヤムーン(勝9.8%/複31.4%), スクリーンヒーロー(勝13.2%/複34.2%), イスラボニータ(勝9.3%/複27.9%), アメリカンペイトリオット(勝10.5%/複21.1%), ダイワメジャー(勝3.6%/複22.6%), マツリダゴッホ(勝8.1%/複18.9%), タリスマニック(勝23.1%/複23.1%), ハービンジャー(勝23.1%/複23.1%), キンシャサノキセキ(勝4.1%/複18.4%), ディスクリートキャット(勝4.7%/複27.9%), ルーラーシップ(勝5.3%/複18.4%), ファインニードル(勝5.6%/複30.6%), リオンディーズ(勝6.1%/複36.4%)","ディープインパクト(勝11.6%/複25.9%), ダイワメジャー(勝6.2%/複22.9%), サクラバクシンオー(勝8.1%/複23.0%), クロフネ(勝7.7%/複21.2%), アドマイヤムーン(勝11.4%/複20.0%), Dubawi(勝16.0%/複44.0%), キングカメハメハ(勝5.0%/複15.0%), シンボリクリスエス(勝7.1%/複23.8%), ゼンノロブロイ(勝7.9%/複21.1%), キングヘイロー(勝9.7%/複29.0%), スペシャルウィーク(勝11.1%/複29.6%), Galileo(勝18.8%/複31.2%), ハーツクライ(勝4.7%/複25.6%), マンハッタンカフェ(勝6.1%/複18.2%), アグネスタキオン(勝6.9%/複17.2%), ハービンジャー(勝7.1%/複21.4%), ダンスインザダーク(勝8.0%/複24.0%), デュランダル(勝8.7%/複17.4%)",100m-200m延長(勝1.6%/複12.5%) / 距離同距離(勝7.9%/複22.1%) / 100m-200m短縮(勝6.1%/複20.7%) / 300m-400m短縮(勝6.5%/複23.9%) / 500m+短縮(勝2.6%/複10.5%),ダ→芝(勝5.1%/複15.4%) / ダ→芝(勝0.0%/複0.0%),昇級(勝9.6%/複24.9%) / 降級(勝9.4%/複24.0%) / 昇級(勝0.0%/複30.4%) / 降級(勝0.0%/複0.0%)
中山芝1600m,,,,,新馬: 1:36.2 / 未勝利: 1:34.8,1勝: 1:34.2 / 2勝: 1:33.8,3勝: 1:33.5 / 重賞OP: 1:33.3,,"ロードカナロア(勝12.4%/複32.7%), モーリス(勝9.4%/複23.2%), シルバーステート(勝11.4%/複33.5%), エピファネイア(勝9.1%/複23.4%), ディープインパクト(勝18.1%/複31.3%), イスラボニータ(勝12.0%/複31.5%), キズナ(勝9.7%/複28.2%), リオンディーズ(勝13.6%/複21.0%), キタサンブラック(勝19.0%/複29.3%), ルーラーシップ(勝10.9%/複27.2%), ドレフォン(勝10.7%/複25.0%), ダイワメジャー(勝8.1%/複27.3%), サートゥルナーリア(勝15.4%/複38.5%), スワーヴリチャード(勝10.9%/複27.3%), ファインニードル(勝18.2%/複30.3%), ドゥラメンテ(勝4.8%/複24.0%), ハービンジャー(勝4.9%/複29.1%), ハーツクライ(勝6.9%/複19.4%), リアルスティール(勝9.8%/複23.5%), ディーマジェスティ(勝10.0%/複30.0%)","ディープインパクト(勝9.2%/複25.4%), キングカメハメハ(勝7.7%/複23.4%), マンハッタンカフェ(勝9.5%/複25.7%), ハーツクライ(勝8.6%/複24.8%), アグネスタキオン(勝8.9%/複21.1%), Shamardal(勝21.1%/複44.7%), ブライアンズタイム(勝13.0%/複24.1%), シンボリクリスエス(勝6.2%/複14.4%), フジキセキ(勝8.8%/複20.6%), ロードカナロア(勝15.4%/複23.1%), タイキシャトル(勝6.4%/複23.1%), ダンスインザダーク(勝8.3%/複16.7%), ダイワメジャー(勝3.1%/複22.5%), ルーラーシップ(勝7.8%/複29.4%), サクラバクシンオー(勝8.0%/複18.0%), スペシャルウィーク(勝8.0%/複22.0%), ファルブラヴ(勝11.4%/複40.0%), エンパイアメーカー(勝15.4%/複26.9%), パイロ(勝16.0%/複20.0%), Diktat(勝40.0%/複50.0%)",500m+延長(勝0.0%/複0.0%) / 300m-400m延長(勝1.5%/複8.8%) / 100m-200m延長(勝4.7%/複19.6%) / 距離同距離(勝9.5%/複26.4%) / 100m-200m短縮(勝7.5%/複21.2%) / 300m-400m短縮(勝6.7%/複20.2%) / 500m+短縮(勝2.8%/複11.1%),ダ→芝(勝1.3%/複7.9%) / ダ→芝(勝0.0%/複11.1%),昇級(勝9.4%/複23.9%) / 降級(勝10.5%/複30.7%) / 昇級(勝6.6%/複22.1%) / 降級(勝7.7%/複30.8%)
中山芝1800m,,,,,新馬: 1:50.8 / 未勝利: 1:49.4,1勝: 1:48.5 / 2勝: 1:48.3,3勝: 1:47.5 / 重賞OP: 1:47.8,,"ドゥラメンテ(勝13.7%/複33.3%), キズナ(勝14.8%/複38.6%), エピファネイア(勝8.2%/複23.6%), ロードカナロア(勝11.2%/複33.8%), モーリス(勝9.1%/複26.0%), ディープインパクト(勝9.7%/複31.9%), リアルスティール(勝17.1%/複31.7%), ゴールドシップ(勝5.2%/複18.3%), ハービンジャー(勝8.7%/複27.5%), キタサンブラック(勝14.0%/複32.6%), ハーツクライ(勝7.0%/複19.7%), ヴィクトワールピサ(勝14.7%/複17.6%), ルーラーシップ(勝4.9%/複23.5%), ブリックスアンドモルタル(勝8.9%/複31.1%), ジャスタウェイ(勝10.5%/複15.8%), サトノダイヤモンド(勝14.8%/複29.6%), ダノンバラード(勝5.2%/複15.5%), オルフェーヴル(勝7.9%/複10.5%), キングカメハメハ(勝7.9%/複31.6%), フィエールマン(勝23.1%/複53.8%)","ディープインパクト(勝10.4%/複27.6%), キングカメハメハ(勝5.2%/複19.0%), ダイワメジャー(勝13.0%/複41.3%), アグネスタキオン(勝7.7%/複26.2%), クロフネ(勝10.6%/複17.0%), ハーツクライ(勝11.9%/複23.8%), シンボリクリスエス(勝5.6%/複21.1%), ジャングルポケット(勝10.5%/複23.7%), スペシャルウィーク(勝10.5%/複23.7%), ルーラーシップ(勝13.8%/複34.5%), Kendargent(勝36.4%/複54.5%), ステイゴールド(勝7.1%/複23.8%), サンデーサイレンス(勝8.6%/複28.6%), ハービンジャー(勝9.7%/複16.1%), アグネスデジタル(勝10.0%/複30.0%), ロージズインメイ(勝12.5%/複20.8%), Teofilo(勝20.0%/複46.7%), エンパイアメーカー(勝27.3%/複36.4%)",500m+延長(勝0.0%/複0.0%) / 300m-400m延長(勝4.8%/複15.9%) / 100m-200m延長(勝5.4%/複19.6%) / 距離同距離(勝10.0%/複26.9%) / 100m-200m短縮(勝6.4%/複22.1%) / 300m-400m短縮(勝4.2%/複18.3%) / 500m+短縮(勝15.0%/複22.5%),ダ→芝(勝2.6%/複9.1%) / ダ→芝(勝0.0%/複18.2%),昇級(勝8.4%/複23.6%) / 降級(勝8.0%/複29.3%) / 昇級(勝8.5%/複27.7%) / 降級(勝0.0%/複18.2%)
中山芝2000m,,,,,新馬: 2:03.5 / 未勝利: 2:01.7,1勝: 2:00.4 / 2勝: 2:00.3,3勝: 2:00.3 / 重賞OP: 2:00.0,,"エピファネイア(勝9.9%/複30.8%), キタサンブラック(勝16.5%/複28.9%), キズナ(勝11.2%/複24.8%), ハービンジャー(勝9.2%/複24.4%), ハーツクライ(勝10.2%/複26.3%), ドゥラメンテ(勝8.0%/複34.3%), レイデオロ(勝10.5%/複25.3%), ゴールドシップ(勝3.8%/複16.0%), シルバーステート(勝9.8%/複21.7%), モーリス(勝9.9%/複27.5%), ルーラーシップ(勝7.0%/複19.3%), ディープインパクト(勝6.7%/複33.3%), サトノダイヤモンド(勝8.0%/複21.3%), リアルスティール(勝9.5%/複33.3%), ジャスタウェイ(勝11.8%/複19.6%), エイシンフラッシュ(勝17.6%/複23.5%), オルフェーヴル(勝6.7%/複23.3%), リオンディーズ(勝7.8%/複21.6%), サートゥルナーリア(勝8.0%/複26.0%), ブラックタイド(勝9.8%/複19.5%)","ディープインパクト(勝8.7%/複27.8%), キングカメハメハ(勝8.5%/複22.5%), ダイワメジャー(勝10.3%/複32.1%), シンボリクリスエス(勝7.9%/複21.3%), マンハッタンカフェ(勝8.0%/複12.6%), ハービンジャー(勝8.0%/複22.7%), クロフネ(勝7.9%/複22.2%), スペシャルウィーク(勝9.4%/複20.8%), ロージズインメイ(勝9.4%/複24.5%), ブライアンズタイム(勝11.6%/複18.6%), ヴィクトワールピサ(勝13.5%/複29.7%), ゼンノロブロイ(勝5.9%/複26.5%), アグネスタキオン(勝6.2%/複18.8%), ジャングルポケット(勝7.3%/複18.2%), エンパイアメーカー(勝13.3%/複33.3%), ハーツクライ(勝3.6%/複14.3%), ステイゴールド(勝4.4%/複19.1%), ルーラーシップ(勝6.8%/複31.8%), ファルブラヴ(勝14.3%/複38.1%), キングヘイロー(勝15.8%/複42.1%)",500m+延長(勝0.0%/複5.3%) / 300m-400m延長(勝5.3%/複14.7%) / 100m-200m延長(勝7.1%/複21.8%) / 距離同距離(勝8.2%/複23.8%) / 100m-200m短縮(勝4.7%/複21.6%) / 300m-400m短縮(勝10.3%/複28.7%) / 500m+短縮(勝2.6%/複10.5%),ダ→芝(勝0.9%/複7.7%) / ダ→芝(勝3.4%/複10.3%),昇級(勝7.6%/複22.3%) / 降級(勝6.2%/複21.0%) / 昇級(勝9.2%/複23.5%) / 降級(勝10.0%/複20.0%)
中山芝2200m,,,,,未勝利: 2:15.1,1勝: 2:14.4 / 2勝: 2:14.9,3勝: 2:12.4 / 重賞OP: 2:12.1,,"ゴールドシップ(勝5.9%/複22.5%), ハーツクライ(勝7.2%/複20.3%), モーリス(勝11.9%/複23.8%), リアルスティール(勝21.7%/複34.8%), ルーラーシップ(勝7.1%/複17.9%), エピファネイア(勝9.3%/複23.3%), レイデオロ(勝14.8%/複33.3%), キタサンブラック(勝16.0%/複36.0%), スクリーンヒーロー(勝18.2%/複22.7%), キングカメハメハ(勝19.0%/複38.1%), ハービンジャー(勝6.5%/複19.6%), ディープインパクト(勝6.7%/複31.1%), シルバーステート(勝12.0%/複48.0%), ドゥラメンテ(勝4.8%/複31.0%), ラブリーデイ(勝18.2%/複18.2%), リオンディーズ(勝18.2%/複18.2%), ノヴェリスト(勝20.0%/複30.0%), フィエールマン(勝20.0%/複50.0%), キズナ(勝1.9%/複16.7%)","ディープインパクト(勝9.0%/複20.5%), キングカメハメハ(勝8.2%/複27.4%), ハービンジャー(勝12.5%/複28.1%), ステイゴールド(勝14.3%/複21.4%), クロフネ(勝11.5%/複15.4%), マンハッタンカフェ(勝8.7%/複26.1%), アグネスタキオン(勝10.5%/複15.8%), ハーツクライ(勝10.5%/複10.5%), タイキシャトル(勝13.3%/複13.3%), ダイワメジャー(勝13.3%/複20.0%), ボストンハーバー(勝15.4%/複61.5%), アドマイヤムーン(勝16.7%/複16.7%), ジャングルポケット(勝5.3%/複15.8%), フジキセキ(勝5.9%/複11.8%), Galileo(勝6.7%/複13.3%)",500m+延長(勝0.0%/複0.0%) / 300m-400m延長(勝6.0%/複13.4%) / 100m-200m延長(勝7.3%/複24.0%) / 距離同距離(勝9.7%/複25.6%) / 100m-200m短縮(勝7.0%/複27.8%) / 300m-400m短縮(勝7.0%/複23.0%) / 500m+短縮(勝9.1%/複22.7%),ダ→芝(勝0.0%/複5.2%) / ダ→芝(勝4.8%/複9.5%),昇級(勝7.7%/複22.4%) / 降級(勝6.9%/複37.9%) / 昇級(勝4.8%/複28.6%) / 降級(勝0.0%/複42.9%)
中山芝2500m,,,,,-,1勝: 2:33.9 / 2勝: 2:33.4,3勝: 2:33.4 / 重賞OP: 2:32.9,,"ゴールドシップ(勝10.0%/複14.0%), キズナ(勝13.9%/複33.3%), ドゥラメンテ(勝18.5%/複37.0%), ハーツクライ(勝6.3%/複22.2%), エピファネイア(勝16.0%/複32.0%), レイデオロ(勝20.0%/複60.0%), ディープインパクト(勝2.2%/複19.6%), ハービンジャー(勝2.8%/複19.4%), キングカメハメハ(勝2.9%/複17.1%), ルーラーシップ(勝3.4%/複24.1%), オルフェーヴル(勝4.3%/複13.0%), ジャスタウェイ(勝6.2%/複25.0%), キタサンブラック(勝7.7%/複30.8%), ブラックタイド(勝7.7%/複38.5%), モーリス(勝9.1%/複27.3%)","キングカメハメハ(勝10.3%/複30.8%), ハービンジャー(勝12.5%/複43.8%), ハーツクライ(勝18.2%/複18.2%), ディープインパクト(勝1.9%/複18.9%), クロフネ(勝5.0%/複35.0%), サンデーサイレンス(勝5.0%/複10.0%), シンボリクリスエス(勝5.0%/複25.0%), ロージズインメイ(勝7.1%/複14.3%), ブライアンズタイム(勝9.1%/複18.2%), キングヘイロー(勝10.0%/複20.0%)",500m+延長(勝9.3%/複19.3%) / 300m-400m延長(勝5.7%/複22.8%) / 100m-200m延長(勝8.6%/複28.1%) / 距離同距離(勝12.3%/複26.0%) / 100m-200m短縮(勝6.5%/複25.2%) / 500m+短縮(勝7.1%/複25.0%),ダ→芝(勝0.0%/複7.1%),昇級(勝12.0%/複34.7%) / 降級(勝17.9%/複50.0%) / 昇級(勝12.5%/複50.0%)
中山芝3600m,,,,,-,-,重賞OP: 3:46.6,,オルフェーヴル(勝16.7%/複33.3%),-,500m+延長(勝5.8%/複20.3%),-,昇級(勝9.1%/複18.2%)
中山ダート1200m,,,,,新馬: 1:12.9 / 未勝利: 1:12.2,1勝: 1:11.4 / 2勝: 1:11.0,3勝: 1:10.5 / 重賞OP: 1:10.0,,"ヘニーヒューズ(勝11.9%/複28.4%), ロードカナロア(勝9.7%/複25.1%), ドレフォン(勝10.1%/複26.6%), ディスクリートキャット(勝11.9%/複28.1%), ダノンレジェンド(勝11.0%/複27.2%), アジアエクスプレス(勝6.8%/複26.2%), キンシャサノキセキ(勝6.8%/複20.8%), リオンディーズ(勝10.3%/複21.9%), イスラボニータ(勝9.2%/複26.2%), カレンブラックヒル(勝8.1%/複18.8%), ミッキーアイル(勝8.5%/複24.6%), シニスターミニスター(勝6.8%/複20.3%), モーリス(勝10.5%/複16.8%), マクフィ(勝5.8%/複13.8%), コパノリッキー(勝6.1%/複21.4%), シャンハイボビー(勝7.3%/複22.0%), マジェスティックウォリアー(勝7.6%/複14.3%), アポロキングダム(勝11.4%/複27.1%), ダイワメジャー(勝6.8%/複21.4%), ミスターメロディ(勝15.2%/複30.4%)","キングカメハメハ(勝9.5%/複22.6%), クロフネ(勝7.5%/複24.3%), ダイワメジャー(勝8.4%/複21.8%), ゴールドアリュール(勝9.5%/複18.6%), サウスヴィグラス(勝11.5%/複22.4%), フレンチデピュティ(勝8.4%/複22.6%), アグネスタキオン(勝6.7%/複17.3%), ディープインパクト(勝5.7%/複15.9%), ネオユニヴァース(勝5.9%/複14.8%), フジキセキ(勝6.2%/複19.2%), タイキシャトル(勝7.5%/複20.8%), サクラバクシンオー(勝6.3%/複22.4%), マンハッタンカフェ(勝6.4%/複21.7%), スペシャルウィーク(勝7.5%/複18.0%), シンボリクリスエス(勝4.5%/複14.0%), ハーツクライ(勝4.0%/複10.4%), ブライアンズタイム(勝5.1%/複13.8%), ワイルドラッシュ(勝7.2%/複36.1%), ルーラーシップ(勝12.5%/複28.6%), ゼンノロブロイ(勝4.4%/複13.3%)",100m-200m延長(勝4.7%/複16.1%) / 距離同距離(勝7.3%/複21.5%) / 100m-200m短縮(勝7.4%/複20.8%) / 300m-400m短縮(勝4.4%/複14.7%) / 500m+短縮(勝2.2%/複10.4%),芝→ダ(勝4.8%/複13.0%) / 芝→ダ(勝1.6%/複12.8%),昇級(勝5.4%/複16.4%) / 降級(勝7.2%/複13.0%) / 昇級(勝4.0%/複13.1%)
中山ダート1800m,,,,,新馬: 1:56.4 / 未勝利: 1:55.4,1勝: 1:53.8 / 2勝: 1:53.3,3勝: 1:52.3 / 重賞OP: 1:52.0,,"ホッコータルマエ(勝9.7%/複23.5%), ドレフォン(勝9.2%/複26.1%), ルヴァンスレーヴ(勝16.3%/複42.3%), ヘニーヒューズ(勝8.8%/複27.2%), ドゥラメンテ(勝11.5%/複24.2%), シニスターミニスター(勝7.7%/複28.2%), ジャスタウェイ(勝8.4%/複20.9%), ロードカナロア(勝9.6%/複17.8%), キズナ(勝9.9%/複23.0%), ナダル(勝21.4%/複45.7%), ルーラーシップ(勝5.5%/複18.1%), オルフェーヴル(勝7.7%/複20.2%), リオンディーズ(勝8.4%/複26.5%), パイロ(勝9.9%/複30.5%), エスポワールシチー(勝14.1%/複29.3%), マジェスティックウォリアー(勝7.7%/複16.1%), サトノダイヤモンド(勝11.8%/複23.7%), アジアエクスプレス(勝7.8%/複23.4%), イスラボニータ(勝8.1%/複25.0%), リアルスティール(勝8.2%/複23.8%)","キングカメハメハ(勝8.0%/複21.6%), クロフネ(勝6.2%/複21.4%), ダイワメジャー(勝9.3%/複23.3%), ディープインパクト(勝7.0%/複20.8%), ハーツクライ(勝9.4%/複20.5%), エンパイアメーカー(勝12.0%/複27.8%), シンボリクリスエス(勝6.6%/複18.6%), マンハッタンカフェ(勝8.0%/複23.5%), サンデーサイレンス(勝11.0%/複27.0%), フジキセキ(勝6.8%/複23.4%), ゴールドアリュール(勝5.7%/複17.5%), スペシャルウィーク(勝8.3%/複22.3%), ブライアンズタイム(勝9.2%/複25.4%), サウスヴィグラス(勝11.3%/複30.2%), フレンチデピュティ(勝6.0%/複18.6%), アグネスタキオン(勝4.0%/複20.6%), ハービンジャー(勝7.4%/複24.4%), ウォーエンブレム(勝21.4%/複28.6%), ゼンノロブロイ(勝4.5%/複19.9%), キングヘイロー(勝11.6%/複23.2%)",500m+延長(勝1.5%/複6.7%) / 300m-400m延長(勝5.0%/複12.2%) / 100m-200m延長(勝6.9%/複19.4%) / 距離同距離(勝7.9%/複23.7%) / 100m-200m短縮(勝6.9%/複19.6%) / 300m-400m短縮(勝5.4%/複21.0%) / 500m+短縮(勝2.9%/複15.4%),芝→ダ(勝5.1%/複15.3%) / 芝→ダ(勝4.5%/複9.6%),昇級(勝6.6%/複18.8%) / 降級(勝5.3%/複24.6%) / 昇級(勝5.6%/複18.5%) / 降級(勝12.5%/複12.5%)
中山ダート2400m,,,,,-,1勝: 2:36.0 / 2勝: 2:35.0,-,,"ニューイヤーズデイ(勝45.5%/複63.6%), シニスターミニスター(勝26.7%/複53.3%), ルーラーシップ(勝9.4%/複18.8%), ハーツクライ(勝5.6%/複22.2%), オルフェーヴル(勝7.7%/複23.1%), ジャスタウェイ(勝8.7%/複26.1%), キングカメハメハ(勝11.8%/複23.5%), キズナ(勝13.3%/複33.3%), ディープインパクト(勝20.0%/複50.0%), マジェスティックウォリアー(勝6.7%/複33.3%), ハービンジャー(勝9.1%/複9.1%), ヘニーヒューズ(勝9.1%/複9.1%), モーリス(勝9.1%/複9.1%), フェノーメノ(勝10.0%/複40.0%)","キングカメハメハ(勝13.9%/複27.8%), クロフネ(勝12.0%/複36.0%), ハーツクライ(勝21.4%/複21.4%), ディープインパクト(勝9.1%/複22.7%), マンハッタンカフェ(勝10.5%/複15.8%), ネオユニヴァース(勝16.7%/複25.0%), Giant's Causeway(勝9.1%/複36.4%), ブライアンズタイム(勝9.1%/複54.5%), ダイワメジャー(勝10.0%/複20.0%)",500m+延長(勝5.8%/複20.2%) / 300m-400m延長(勝7.6%/複21.4%) / 100m-200m延長(勝20.0%/複20.0%) / 距離同距離(勝8.2%/複24.0%) / 100m-200m短縮(勝5.6%/複20.4%) / 500m+短縮(勝0.0%/複0.0%),芝→ダ(勝6.3%/複15.9%),昇級(勝9.3%/複21.3%) / 昇級(勝10.0%/複20.0%)
