factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,693,691,693,8029,10106,6.9,13.7,20.6,79.0,82.0
father_w,ホッコータルマエ,32,21,22,221,296,10.8,17.9,25.3,119.0,90.0
father_w,ドレフォン,27,22,19,194,262,10.3,18.7,26.0,86.0,83.0
father_w,シニスターミニスター,21,28,16,155,220,9.5,22.3,29.5,90.0,94.0
father_w,ヘニーヒューズ,20,21,19,166,226,8.8,18.1,26.5,65.0,75.0
father_w,ドゥラメンテ,18,14,8,131,171,10.5,18.7,23.4,75.0,70.0
father_w,ロードカナロア,16,8,5,126,155,10.3,15.5,18.7,107.0,69.0
father_w,ジャスタウェイ,15,11,14,145,185,8.1,14.1,21.6,99.0,78.0
father_w,キズナ,15,9,13,137,174,8.6,13.8,21.3,83.0,74.0
father_w,パイロ,15,15,10,101,141,10.6,21.3,28.4,98.0,88.0
father_w,リオンディーズ,14,12,13,95,134,10.4,19.4,29.1,88.0,95.0
jockey_w,横山武史,62,45,29,222,358,17.3,29.9,38.0,80.0,79.0
jockey_w,戸崎圭太,49,39,36,185,309,15.9,28.5,40.1,75.0,81.0
jockey_w,横山和生,40,25,26,165,256,15.6,25.4,35.5,108.0,93.0
jockey_w,C.ルメール,40,29,18,68,155,25.8,44.5,56.1,75.0,83.0
jockey_w,三浦皇成,36,36,26,185,283,12.7,25.4,34.6,92.0,93.0
jockey_w,田辺裕信,30,38,23,169,260,11.5,26.2,35.0,75.0,84.0
jockey_w,石川裕紀人,23,15,19,201,258,8.9,14.7,22.1,124.0,93.0
jockey_w,菅原明良,21,22,31,304,378,5.6,11.4,19.6,60.0,72.0
jockey_w,大野拓弥,21,20,21,261,323,6.5,12.7,19.2,89.0,83.0
jockey_w,津村明秀,18,20,17,206,261,6.9,14.6,21.1,63.0,71.0
frame,1枠,58,59,63,895,1075,5.4,10.9,16.7,68.0,70.0
frame,2枠,84,69,72,925,1150,7.3,13.3,19.6,94.0,86.0
frame,3枠,55,76,75,1002,1208,4.6,10.8,17.1,58.0,71.0
frame,4枠,91,77,96,1009,1273,7.1,13.2,20.7,83.0,83.0
frame,5枠,78,104,99,1036,1317,5.9,13.8,21.3,68.0,83.0
frame,6枠,102,101,98,1048,1349,7.6,15.0,22.3,83.0,84.0
frame,7枠,102,107,91,1063,1363,7.5,15.3,22.0,80.0,85.0
frame,8枠,123,98,99,1051,1371,9.0,16.1,23.3,91.0,88.0
averunningstyle,逃げ,42,43,19,195,299,14.0,28.4,34.8,84.0,89.0
averunningstyle,先行,295,253,224,1987,2759,10.7,19.9,28.0,81.0,81.0
averunningstyle,差し,82,84,73,443,682,12.0,24.3,35.0,73.0,85.0
averunningstyle,追込,11,4,7,41,63,17.5,23.8,34.9,102.0,86.0
distance,500m以上延長,5,8,10,319,342,1.5,3.8,6.7,62.0,72.0
distance,300m-400m延長,22,15,16,383,436,5.0,8.5,12.2,100.0,77.0
distance,100m-200m延長,164,152,146,1922,2384,6.9,13.3,19.4,80.0,78.0
distance,距離変更なし,372,373,380,3613,4738,7.9,15.7,23.7,78.0,85.0
distance,100m-200m短縮,43,42,37,499,621,6.9,13.7,19.6,86.0,82.0
distance,300m-400m短縮,21,31,30,309,391,5.4,13.3,21.0,65.0,83.0
distance,500m以上短縮,4,7,10,115,136,2.9,8.1,15.4,56.0,93.0
surface,ダ→ダ,560,551,566,5982,7659,7.3,14.5,21.9,79.0,82.0
surface,芝→ダ,70,77,63,1162,1372,5.1,10.7,15.3,80.0,82.0
stable_trainer,美浦,628,626,643,7475,9372,6.7,13.4,20.2,78.0,81.0
stable_trainer,栗東,65,65,49,553,732,8.9,17.8,24.5,82.0,89.0
