factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,5,5,5,56,71,7.0,14.1,21.1,79.0,76.0
father_w,オルフェーヴル,2,1,1,8,12,16.7,25.0,33.3,168.0,107.0
father_w,ディープインパクト,1,0,0,5,6,16.7,16.7,16.7,115.0,54.0
father_w,ルーラーシップ,1,0,0,5,6,16.7,16.7,16.7,141.0,51.0
father_w,ワークフォース,1,0,1,0,2,50.0,50.0,100.0,358.0,210.0
father_w,ゴールドシップ,0,2,0,5,7,0.0,28.6,28.6,0.0,77.0
father_w,ハーツクライ,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0
father_w,キングカメハメハ,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0
father_w,キズナ,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0
father_w,ドレフォン,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0
father_w,トーセンジョーダン,0,1,0,2,3,0.0,33.3,33.3,0.0,69.0
jockey_w,石橋脩,1,1,0,3,5,20.0,40.0,40.0,200.0,111.0
jockey_w,戸崎圭太,1,0,2,2,5,20.0,20.0,60.0,207.0,183.0
jockey_w,北村友一,1,0,0,1,2,50.0,50.0,50.0,168.0,79.0
jockey_w,田辺裕信,1,0,0,1,2,50.0,50.0,50.0,667.0,182.0
jockey_w,D.レーン,1,0,0,0,1,100.0,100.0,100.0,540.0,200.0
jockey_w,菅原明良,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0
jockey_w,T.マーカンド,0,1,0,3,4,0.0,25.0,25.0,0.0,52.0
jockey_w,横山武史,0,1,1,2,4,0.0,25.0,50.0,0.0,139.0
jockey_w,石川裕紀人,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0
jockey_w,荻野極,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0
frame,1枠,0,0,1,5,6,0.0,0.0,16.7,0.0,21.0
frame,2枠,0,0,0,6,6,0.0,0.0,0.0,0.0,0.0
frame,3枠,2,1,1,5,9,22.2,33.3,44.4,202.0,144.0
frame,4枠,1,1,0,8,10,10.0,20.0,20.0,200.0,111.0
frame,5枠,1,0,1,8,10,10.0,10.0,20.0,119.0,98.0
frame,6枠,0,1,1,8,10,0.0,10.0,20.0,0.0,83.0
frame,7枠,1,1,0,8,10,10.0,20.0,20.0,132.0,79.0
frame,8枠,0,1,1,8,10,0.0,10.0,20.0,0.0,45.0
averunningstyle,逃げ,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
averunningstyle,先行,3,2,2,19,26,11.5,19.2,26.9,92.0,70.0
averunningstyle,差し,0,2,1,12,15,0.0,13.3,20.0,0.0,70.0
averunningstyle,追込,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
distance,500m以上延長,4,5,5,55,69,5.8,13.0,20.3,65.0,72.0
distance,300m-400m延長,1,0,0,0,1,100.0,100.0,100.0,540.0,200.0
distance,100m-200m延長,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
distance,距離変更なし,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,100m-200m短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,500m以上短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
surface,芝→芝,5,5,5,52,67,7.5,14.9,22.4,80.0,77.0
surface,ダ→芝,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0
stable_trainer,美浦,1,2,1,28,32,3.1,9.4,12.5,41.0,49.0
stable_trainer,栗東,4,3,4,28,39,10.3,17.9,28.2,103.0,93.0
