course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
新潟1000m直線,差し (Closers) - particularly when headwinds cause front-runners to tire early.,"['The acceleration zone for this course is from the start to approximately 400m, differing from typical courses where acceleration usually occurs in the latter half.', 'The initial dash section after the start is exceptionally fast, allowing front-runners to often maintain their lead directly from the start.']",,"['General wind biases: A headwind in the straight typically favors front-runners, while a tailwind favors closers.', 'However, for the Niigata 1000m Straight, a headwind in the straight is uniquely advantageous for closers because front-runners are impacted by the headwind early in the acceleration zone.', 'Wind biases are more pronounced when wind speeds exceed 5m/s.', 'Pay particular attention to horses that conserve energy by avoiding headwinds in the group along the outer rail in good track conditions.', 'Example: In the May 2025 Maishin Special, horses in 1st-3rd positions faded, and closers (finishing 8th, 4th, 6th) ultimately won.']",,,,,,,-,-,-
新潟芝1000m,,,,,未勝利: 0:55.9,1勝: 0:55.4 / 2勝: 0:55.2,3勝: 0:55.4 / 重賞OP: 0:55.1,,"ロードカナロア(勝7.4%/複25.3%), ビッグアーサー(勝16.2%/複32.4%), アジアエクスプレス(勝20.8%/複20.8%), ダイワメジャー(勝5.7%/複25.7%), ディスクリートキャット(勝8.0%/複20.0%), ファインニードル(勝12.9%/複19.4%), アメリカンペイトリオット(勝13.3%/複23.3%), マクフィ(勝16.0%/複32.0%), フォーウィールドライブ(勝25.0%/複43.8%), シルバーステート(勝7.0%/複18.6%), ミッキーアイル(勝7.3%/複22.0%), リオンディーズ(勝8.6%/複20.0%), アルアイン(勝18.8%/複50.0%), ジョーカプチーノ(勝4.4%/複17.8%), キンシャサノキセキ(勝4.7%/複9.3%), アドマイヤムーン(勝4.9%/複22.0%), オルフェーヴル(勝8.3%/複20.8%), イスラボニータ(勝9.1%/複27.3%), ザファクター(勝12.5%/複31.2%)","ダイワメジャー(勝11.9%/複23.7%), ディープインパクト(勝7.7%/複18.5%), ハーツクライ(勝8.8%/複17.5%), キングカメハメハ(勝8.9%/複28.6%), アドマイヤムーン(勝15.2%/複24.2%), ネオユニヴァース(勝10.5%/複15.8%), フジキセキ(勝11.4%/複25.7%), サクラバクシンオー(勝6.8%/複13.6%), マンハッタンカフェ(勝9.7%/複16.1%), オルフェーヴル(勝15.0%/複35.0%), マヤノトップガン(勝25.0%/複50.0%), ダンスインザダーク(勝6.1%/複12.1%), スペシャルウィーク(勝7.7%/複34.6%), ゼンノエルシド(勝8.0%/複28.0%), ロードカナロア(勝11.1%/複16.7%), Galileo(勝15.4%/複23.1%)",距離同距離(勝6.0%/複18.9%) / 100m-200m短縮(勝6.9%/複19.6%) / 300m-400m短縮(勝3.9%/複11.6%) / 500m+短縮(勝4.0%/複11.9%),ダ→芝(勝4.4%/複13.9%) / ダ→芝(勝2.1%/複12.5%),昇級(勝3.6%/複13.9%) / 降級(勝5.9%/複13.7%) / 昇級(勝13.3%/複20.0%)
新潟芝1200m,,,,,新馬: 1:10.3 / 未勝利: 1:09.7,1勝: 1:09.9 / 2勝: 1:09.1,3勝: 1:08.1,,"ダイワメジャー(勝15.6%/複37.8%), モーリス(勝13.2%/複28.9%), エピファネイア(勝9.1%/複15.2%), リオンディーズ(勝9.4%/複28.1%), キズナ(勝9.7%/複25.8%), マクフィ(勝13.6%/複22.7%), ビッグアーサー(勝2.9%/複20.6%), ロードカナロア(勝4.3%/複19.6%), キンシャサノキセキ(勝6.5%/複22.6%), イスラボニータ(勝9.1%/複22.7%), ファインニードル(勝11.1%/複16.7%), ドゥラメンテ(勝14.3%/複21.4%), ディープブリランテ(勝16.7%/複33.3%), スクリーンヒーロー(勝4.3%/複13.0%)","サクラバクシンオー(勝12.8%/複25.5%), クロフネ(勝9.3%/複20.9%), フジキセキ(勝11.5%/複19.2%), ディープインパクト(勝4.4%/複13.3%), キングカメハメハ(勝4.5%/複9.1%), ダイワメジャー(勝4.9%/複19.5%), ネオユニヴァース(勝5.6%/複16.7%), アドマイヤムーン(勝9.5%/複14.3%), ゼンノロブロイ(勝9.5%/複14.3%), マンハッタンカフェ(勝14.3%/複35.7%), シンボリクリスエス(勝3.0%/複15.2%), ダンスインザダーク(勝3.8%/複26.9%), ハーツクライ(勝3.8%/複19.2%), タイキシャトル(勝7.1%/複28.6%), サンデーサイレンス(勝8.3%/複16.7%), ロードカナロア(勝8.3%/複25.0%), キングヘイロー(勝9.1%/複18.2%)",100m-200m延長(勝3.8%/複11.4%) / 距離同距離(勝7.5%/複21.9%) / 100m-200m短縮(勝5.0%/複14.9%) / 300m-400m短縮(勝3.3%/複15.4%) / 500m+短縮(勝4.3%/複12.8%),ダ→芝(勝3.7%/複11.0%) / ダ→芝(勝6.7%/複13.3%),昇級(勝9.3%/複21.6%) / 降級(勝4.2%/複12.5%) / 昇級(勝0.0%/複16.7%)
新潟芝1400m,,,,,新馬: 1:23.2 / 未勝利: 1:22.3,1勝: 1:22.1 / 2勝: 1:20.9,3勝: 1:19.7 / 重賞OP: 1:21.1,,"ロードカナロア(勝13.0%/複27.3%), モーリス(勝15.8%/複28.1%), エピファネイア(勝7.8%/複26.0%), ダイワメジャー(勝11.5%/複26.9%), キズナ(勝8.0%/複26.0%), イスラボニータ(勝10.8%/複29.7%), キタサンブラック(勝18.2%/複27.3%), ディープインパクト(勝7.0%/複16.3%), ジャスタウェイ(勝11.1%/複29.6%), ミッキーアイル(勝11.1%/複25.9%), ヴィクトワールピサ(勝16.7%/複22.2%), ドゥラメンテ(勝4.8%/複21.4%), シルバーステート(勝6.5%/複19.4%), ハービンジャー(勝6.7%/複13.3%), アドマイヤムーン(勝8.0%/複20.0%), ダノンバラード(勝8.7%/複21.7%), ロゴタイプ(勝8.7%/複17.4%), サトノダイヤモンド(勝9.5%/複19.0%), デクラレーションオブウォー(勝10.0%/複15.0%), ジョーカプチーノ(勝11.1%/複27.8%)","ディープインパクト(勝6.2%/複19.5%), キングカメハメハ(勝7.4%/複20.6%), ダイワメジャー(勝9.1%/複22.7%), アグネスタキオン(勝14.8%/複18.5%), タニノギムレット(勝26.7%/複40.0%), サンデーサイレンス(勝9.1%/複24.2%), フレンチデピュティ(勝10.0%/複30.0%), グラスワンダー(勝17.6%/複29.4%), エンパイアメーカー(勝20.0%/複26.7%), ハーツクライ(勝4.5%/複29.5%), ゼンノロブロイ(勝5.4%/複10.8%), ダンスインザダーク(勝5.6%/複19.4%), シンボリクリスエス(勝6.5%/複29.0%), ネオユニヴァース(勝6.5%/複16.1%), マンハッタンカフェ(勝6.9%/複10.3%), スペシャルウィーク(勝9.1%/複22.7%), ウォーエンブレム(勝11.1%/複22.2%), スウェプトオーヴァーボード(勝11.8%/複11.8%)",300m-400m延長(勝0.0%/複3.0%) / 100m-200m延長(勝3.7%/複16.0%) / 距離同距離(勝8.9%/複23.6%) / 100m-200m短縮(勝8.3%/複23.3%) / 300m-400m短縮(勝4.9%/複14.7%) / 500m+短縮(勝4.9%/複7.3%),ダ→芝(勝2.3%/複10.4%) / ダ→芝(勝0.0%/複27.3%),昇級(勝7.5%/複21.6%) / 降級(勝14.8%/複40.7%)
新潟芝1600m,,,,,新馬: 1:35.9 / 未勝利: 1:34.9,1勝: 1:34.2 / 2勝: 1:33.6,3勝: 1:33.2 / 重賞OP: 1:33.5,,"エピファネイア(勝14.1%/複30.3%), ロードカナロア(勝9.2%/複27.6%), キズナ(勝9.3%/複21.3%), ドゥラメンテ(勝11.3%/複26.4%), スクリーンヒーロー(勝23.1%/複46.2%), モーリス(勝6.7%/複22.7%), ディープインパクト(勝7.0%/複23.9%), ルーラーシップ(勝7.3%/複20.0%), シルバーステート(勝8.9%/複33.3%), ハーツクライ(勝9.5%/複19.0%), リオンディーズ(勝7.3%/複24.4%), ダイワメジャー(勝7.9%/複26.3%), ブリックスアンドモルタル(勝14.3%/複33.3%), ダノンバラード(勝15.0%/複35.0%), サートゥルナーリア(勝15.8%/複36.8%), スワーヴリチャード(勝25.0%/複33.3%), ハービンジャー(勝3.8%/複19.2%), オルフェーヴル(勝5.3%/複18.4%), イスラボニータ(勝5.7%/複17.1%), ゴールドシップ(勝6.5%/複25.8%)","ディープインパクト(勝9.5%/複25.4%), キングカメハメハ(勝9.3%/複26.9%), ステイゴールド(勝16.1%/複19.4%), ダイワメジャー(勝8.9%/複20.0%), スペシャルウィーク(勝17.4%/複34.8%), マイネルラヴ(勝33.3%/複33.3%), フジキセキ(勝9.4%/複18.8%), クロフネ(勝3.3%/複18.3%), マンハッタンカフェ(勝5.4%/複13.5%), ハーツクライ(勝5.7%/複25.7%), ルーラーシップ(勝9.5%/複23.8%), Giant's Causeway(勝14.3%/複28.6%), Mr. Greeley(勝14.3%/複14.3%), ホワイトマズル(勝15.4%/複23.1%), パイロ(勝16.7%/複41.7%), アドマイヤコジーン(勝20.0%/複40.0%)",500m+延長(勝0.0%/複5.3%) / 300m-400m延長(勝2.8%/複9.9%) / 100m-200m延長(勝6.6%/複14.4%) / 距離同距離(勝9.2%/複26.0%) / 100m-200m短縮(勝6.6%/複22.8%) / 300m-400m短縮(勝6.9%/複25.5%) / 500m+短縮(勝0.0%/複15.4%),ダ→芝(勝3.2%/複8.2%) / ダ→芝(勝0.0%/複0.0%),昇級(勝8.8%/複27.7%) / 降級(勝10.0%/複25.0%)
新潟芝1800m,,,,,新馬: 1:49.6 / 未勝利: 1:48.0,1勝: 1:47.5 / 2勝: 1:47.0,3勝: 1:46.7 / 重賞OP: 1:45.1,,"エピファネイア(勝14.2%/複29.2%), ディープインパクト(勝12.0%/複32.0%), キズナ(勝15.1%/複28.8%), ハーツクライ(勝12.0%/複33.7%), ロードカナロア(勝14.5%/複29.0%), モーリス(勝10.5%/複24.4%), ドゥラメンテ(勝12.1%/複39.4%), リアルスティール(勝21.2%/複39.4%), ハービンジャー(勝8.0%/複17.3%), サートゥルナーリア(勝30.0%/複50.0%), ルーラーシップ(勝5.2%/複18.2%), キタサンブラック(勝8.2%/複20.4%), シルバーステート(勝7.1%/複21.4%), ブリックスアンドモルタル(勝8.3%/複19.4%), リオンディーズ(勝10.0%/複23.3%), ダノンバラード(勝4.4%/複20.0%), オルフェーヴル(勝5.7%/複20.0%), スクリーンヒーロー(勝5.9%/複26.5%)","ディープインパクト(勝9.5%/複23.8%), キングカメハメハ(勝7.0%/複28.0%), アグネスタキオン(勝10.5%/複19.3%), ジャングルポケット(勝12.8%/複30.8%), Storm Cat(勝38.5%/複46.2%), クロフネ(勝7.1%/複25.0%), フレンチデピュティ(勝14.3%/複28.6%), ファルブラヴ(勝30.8%/複38.5%), シンボリクリスエス(勝4.9%/複26.2%), ハーツクライ(勝5.7%/複18.9%), ダンスインザダーク(勝6.0%/複16.0%), Street Cry(勝23.1%/複30.8%), アドマイヤベガ(勝25.0%/複50.0%), Galileo(勝27.3%/複36.4%), マンハッタンカフェ(勝5.3%/複23.7%), ダイワメジャー(勝5.4%/複16.2%), タイキシャトル(勝5.7%/複20.0%), ゼンノロブロイ(勝6.7%/複6.7%), ハービンジャー(勝7.1%/複14.3%), ルーラーシップ(勝8.3%/複25.0%)",500m+延長(勝3.2%/複9.7%) / 300m-400m延長(勝3.7%/複7.3%) / 100m-200m延長(勝8.5%/複25.1%) / 距離同距離(勝7.7%/複23.0%) / 100m-200m短縮(勝7.5%/複23.2%) / 300m-400m短縮(勝7.8%/複21.9%) / 500m+短縮(勝1.8%/複14.3%),ダ→芝(勝2.0%/複10.1%) / ダ→芝(勝0.0%/複0.0%),昇級(勝8.5%/複24.1%) / 降級(勝13.3%/複26.7%) / 昇級(勝0.0%/複18.2%)
新潟芝2000m（内回り）,,,,,新馬: 2:05.1 / 未勝利: 2:02.1,-,-,,"ゴールドシップ(勝7.1%/複27.1%), ルーラーシップ(勝17.9%/複25.0%), ハービンジャー(勝8.5%/複29.8%), ブリックスアンドモルタル(勝21.1%/複31.6%), ディープインパクト(勝25.0%/複33.3%), エピファネイア(勝5.7%/複28.6%), キズナ(勝7.7%/複11.5%), シルバーステート(勝8.7%/複39.1%), ハーツクライ(勝9.1%/複27.3%), レイデオロ(勝9.5%/複23.8%), ダノンバラード(勝4.3%/複17.4%), リオンディーズ(勝4.8%/複14.3%), サトノダイヤモンド(勝5.0%/複25.0%), スクリーンヒーロー(勝5.6%/複5.6%), ドゥラメンテ(勝6.2%/複25.0%), オルフェーヴル(勝6.7%/複26.7%), ヴィクトワールピサ(勝8.3%/複41.7%), リアルスティール(勝8.3%/複16.7%)","ディープインパクト(勝13.3%/複26.7%), ダンスインザダーク(勝27.3%/複36.4%), キングカメハメハ(勝5.1%/複20.5%), アグネスタキオン(勝7.7%/複34.6%), ハービンジャー(勝10.5%/複26.3%), スペシャルウィーク(勝12.5%/複12.5%), ゼンノロブロイ(勝12.5%/複37.5%), ダイワメジャー(勝14.3%/複21.4%), フジキセキ(勝14.3%/複14.3%), アグネスデジタル(勝20.0%/複20.0%), クロフネ(勝3.8%/複11.5%), ステイゴールド(勝4.8%/複19.0%), ハーツクライ(勝5.3%/複15.8%), ネオユニヴァース(勝5.6%/複38.9%), サンデーサイレンス(勝5.9%/複11.8%), ヴィクトワールピサ(勝6.2%/複25.0%), ジャングルポケット(勝9.1%/複18.2%), タニノギムレット(勝9.1%/複18.2%)",500m+延長(勝0.0%/複11.1%) / 300m-400m延長(勝4.8%/複11.1%) / 100m-200m延長(勝9.4%/複23.3%) / 距離同距離(勝7.5%/複25.8%) / 100m-200m短縮(勝9.0%/複28.2%) / 300m-400m短縮(勝13.2%/複30.2%) / 500m+短縮(勝2.0%/複16.3%),ダ→芝(勝1.8%/複7.0%),昇級(勝10.8%/複29.2%) / 降級(勝10.0%/複46.7%)
新潟芝2000m（外回り）,,,,,-,1勝: 2:00.3 / 2勝: 2:00.7,3勝: 1:59.9 / 重賞OP: 1:59.3,,"ハービンジャー(勝17.1%/複24.4%), ハーツクライ(勝12.2%/複24.4%), ディープインパクト(勝5.5%/複24.7%), ゴールドシップ(勝10.8%/複24.3%), モーリス(勝18.2%/複27.3%), ドゥラメンテ(勝7.1%/複31.0%), キズナ(勝7.3%/複29.3%), スクリーンヒーロー(勝16.7%/複27.8%), キングカメハメハ(勝8.0%/複36.0%), ロードカナロア(勝10.0%/複10.0%), ヴィクトワールピサ(勝16.7%/複25.0%), エピファネイア(勝2.6%/複25.6%), ルーラーシップ(勝4.0%/複24.0%), リアルスティール(勝7.1%/複7.1%), ダイワメジャー(勝8.3%/複50.0%), サトノダイヤモンド(勝9.1%/複18.2%)","キングカメハメハ(勝16.0%/複28.0%), ディープインパクト(勝9.1%/複29.1%), シンボリクリスエス(勝14.3%/複28.6%), ゼンノロブロイ(勝21.4%/複35.7%), ルーラーシップ(勝30.0%/複40.0%), ハーツクライ(勝9.1%/複18.2%), ホワイトマズル(勝11.8%/複41.2%), フレンチデピュティ(勝12.5%/複18.8%), タニノギムレット(勝14.3%/複28.6%), アグネスタキオン(勝4.5%/複9.1%), クロフネ(勝5.3%/複5.3%), マンハッタンカフェ(勝5.3%/複21.1%), ロージズインメイ(勝8.3%/複33.3%), アドマイヤムーン(勝10.0%/複20.0%), フジキセキ(勝10.0%/複40.0%)",500m+延長(勝0.0%/複11.1%) / 300m-400m延長(勝4.8%/複11.1%) / 100m-200m延長(勝9.4%/複23.3%) / 距離同距離(勝7.5%/複25.8%) / 100m-200m短縮(勝9.0%/複28.2%) / 300m-400m短縮(勝13.2%/複30.2%) / 500m+短縮(勝2.0%/複16.3%),ダ→芝(勝1.8%/複7.0%),昇級(勝10.8%/複29.2%) / 降級(勝10.0%/複46.7%)
新潟芝2200m,,,,,未勝利: 2:14.8,1勝: 2:14.4 / 2勝: 2:12.6,3勝: 2:12.4 / 重賞OP: 2:14.1,,"ドゥラメンテ(勝16.7%/複30.0%), ハービンジャー(勝10.8%/複16.2%), キズナ(勝16.0%/複36.0%), ディープインパクト(勝6.8%/複29.5%), ゴールドシップ(勝3.1%/複20.0%), エピファネイア(勝7.1%/複28.6%), ルーラーシップ(勝7.7%/複26.9%), オルフェーヴル(勝9.1%/複18.2%), ロードカナロア(勝16.7%/複41.7%), ハーツクライ(勝2.9%/複25.7%), キタサンブラック(勝7.7%/複7.7%), ブラックタイド(勝9.1%/複27.3%), レイデオロ(勝9.1%/複54.5%)","キングカメハメハ(勝15.2%/複36.4%), ディープインパクト(勝7.0%/複18.6%), ステイゴールド(勝23.1%/複30.8%), シンボリクリスエス(勝8.7%/複13.0%), アグネスタキオン(勝11.1%/複22.2%), サンデーサイレンス(勝12.5%/複25.0%), アグネスデジタル(勝7.7%/複7.7%), ジャングルポケット(勝7.7%/複23.1%), ハービンジャー(勝9.1%/複27.3%), ロージズインメイ(勝9.1%/複45.5%)",500m+延長(勝0.0%/複7.1%) / 300m-400m延長(勝0.9%/複12.0%) / 100m-200m延長(勝8.1%/複23.2%) / 距離同距離(勝11.5%/複31.0%) / 100m-200m短縮(勝11.6%/複27.7%) / 300m-400m短縮(勝6.2%/複21.2%) / 500m+短縮(勝20.0%/複20.0%),ダ→芝(勝3.2%/複8.1%),昇級(勝6.7%/複23.3%) / 降級(勝36.4%/複63.6%)
新潟芝2400m,,,,,未勝利: 2:28.7,1勝: 2:26.6,-,,"ハービンジャー(勝8.3%/複25.0%), ディープインパクト(勝12.5%/複31.2%), ドゥラメンテ(勝12.5%/複25.0%), ゴールドシップ(勝5.0%/複15.0%), キズナ(勝6.2%/複31.2%), ルーラーシップ(勝6.7%/複26.7%), オルフェーヴル(勝9.1%/複18.2%), キングカメハメハ(勝10.0%/複10.0%), ハーツクライ(勝0.0%/複5.6%)","ディープインパクト(勝7.4%/複18.5%), キングカメハメハ(勝15.4%/複30.8%), ハーツクライ(勝10.0%/複20.0%)",500m+延長(勝2.8%/複11.1%) / 300m-400m延長(勝7.0%/複20.9%) / 100m-200m延長(勝8.3%/複18.3%) / 距離同距離(勝11.9%/複28.6%) / 100m-200m短縮(勝7.8%/複32.5%) / 500m+短縮(勝20.0%/複20.0%),ダ→芝(勝1.8%/複12.5%),昇級(勝11.4%/複25.7%) / 降級(勝16.7%/複50.0%)
