factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,8,8,8,70,94,8.5,17.0,25.5,77.0,83.0
father_w,ハーツクライ,2,1,0,4,7,28.6,42.9,42.9,339.0,137.0
father_w,ドゥラメンテ,1,0,0,1,2,50.0,50.0,50.0,225.0,102.0
father_w,モーリス,1,0,0,1,2,50.0,50.0,50.0,336.0,121.0
father_w,オルフェーヴル,1,0,0,1,2,50.0,50.0,50.0,403.0,133.0
father_w,キングカメハメハ,1,0,0,0,1,100.0,100.0,100.0,210.0,120.0
father_w,ヴァーミリアン,1,0,0,0,1,100.0,100.0,100.0,970.0,310.0
father_w,マンハッタンカフェ,1,0,0,0,1,100.0,100.0,100.0,770.0,150.0
father_w,ルーラーシップ,0,0,1,9,10,0.0,0.0,10.0,0.0,51.0
father_w,ホッコータルマエ,0,2,0,4,6,0.0,33.3,33.3,0.0,100.0
father_w,マジェスティックウォリアー,0,1,2,3,6,0.0,16.7,50.0,0.0,110.0
jockey_w,丹内祐次,2,0,1,2,5,40.0,40.0,60.0,183.0,87.0
jockey_w,横山和生,2,0,0,0,2,100.0,100.0,100.0,1041.0,338.0
jockey_w,小沢大仁,1,0,0,4,5,20.0,20.0,20.0,244.0,48.0
jockey_w,荻野極,1,0,0,1,2,50.0,50.0,50.0,202.0,115.0
jockey_w,鮫島克駿,1,0,0,1,2,50.0,50.0,50.0,309.0,141.0
jockey_w,内田博幸,1,0,0,1,2,50.0,50.0,50.0,467.0,78.0
jockey_w,菊沢一樹,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0
jockey_w,富田暁,0,0,1,3,4,0.0,0.0,25.0,0.0,63.0
jockey_w,秋山稔樹,0,1,0,2,3,0.0,33.3,33.3,0.0,74.0
jockey_w,菱田裕二,0,1,0,2,3,0.0,33.3,33.3,0.0,95.0
frame,1枠,0,0,1,7,8,0.0,0.0,12.5,0.0,47.0
frame,2枠,0,0,2,8,10,0.0,0.0,20.0,0.0,61.0
frame,3枠,1,2,0,7,10,10.0,30.0,30.0,82.0,99.0
frame,4枠,0,0,0,10,10,0.0,0.0,0.0,0.0,0.0
frame,5枠,1,3,1,7,12,8.3,33.3,41.7,54.0,100.0
frame,6枠,1,0,2,10,13,7.7,7.7,23.1,81.0,94.0
frame,7枠,2,1,0,12,15,13.3,20.0,20.0,131.0,72.0
frame,8枠,3,2,2,9,16,18.8,31.2,43.8,134.0,108.0
averunningstyle,逃げ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
averunningstyle,先行,2,2,2,12,18,11.1,22.2,33.3,57.0,80.0
averunningstyle,差し,1,2,1,3,7,14.3,42.9,57.1,66.0,97.0
averunningstyle,追込,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
distance,500m以上延長,1,4,2,43,50,2.0,10.0,14.0,25.0,59.0
distance,300m-400m延長,3,0,1,7,11,27.3,27.3,36.4,244.0,105.0
distance,100m-200m延長,4,4,5,16,29,13.8,27.6,44.8,82.0,102.0
distance,距離変更なし,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
distance,100m-200m短縮,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
distance,300m-400m短縮,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
distance,500m以上短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
surface,ダ→ダ,6,8,8,62,84,7.1,16.7,26.2,62.0,82.0
surface,芝→ダ,2,0,0,7,9,22.2,22.2,22.2,288.0,100.0
stable_trainer,美浦,5,2,5,36,48,10.4,14.6,25.0,98.0,86.0
stable_trainer,栗東,3,6,3,34,46,6.5,19.6,26.1,58.0,80.0
