factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,143,143,140,1603,2029,7.0,14.1,21.0,80.0,82.0
father_w,エピファネイア,14,9,7,68,98,14.3,23.5,30.6,100.0,79.0
father_w,ロードカナロア,9,7,11,72,99,9.1,16.2,27.3,72.0,83.0
father_w,キズナ,7,6,4,59,76,9.2,17.1,22.4,76.0,82.0
father_w,ディープインパクト,6,6,6,61,79,7.6,15.2,22.8,74.0,76.0
father_w,ドゥラメンテ,6,5,3,39,53,11.3,20.8,26.4,81.0,81.0
father_w,スクリーンヒーロー,6,3,5,15,29,20.7,31.0,48.3,164.0,129.0
father_w,モーリス,5,8,4,59,76,6.6,17.1,22.4,46.0,64.0
father_w,ハーツクライ,5,2,2,35,44,11.4,15.9,20.5,80.0,66.0
father_w,ルーラーシップ,4,2,5,46,57,7.0,10.5,19.3,94.0,80.0
father_w,シルバーステート,4,5,6,29,44,9.1,20.5,34.1,95.0,106.0
jockey_w,戸崎圭太,12,6,3,37,58,20.7,31.0,36.2,102.0,73.0
jockey_w,川田将雅,10,3,4,7,24,41.7,54.2,70.8,111.0,100.0
jockey_w,C.ルメール,9,6,2,8,25,36.0,60.0,68.0,78.0,87.0
jockey_w,菅原明良,8,11,6,41,66,12.1,28.8,37.9,96.0,100.0
jockey_w,三浦皇成,7,4,2,48,61,11.5,18.0,21.3,116.0,66.0
jockey_w,津村明秀,5,7,11,40,63,7.9,19.0,36.5,59.0,103.0
jockey_w,丹内祐次,5,3,2,17,27,18.5,29.6,37.0,113.0,91.0
jockey_w,吉田隼人,5,2,1,8,16,31.2,43.8,50.0,177.0,96.0
jockey_w,M.デムーロ,4,6,6,27,43,9.3,23.3,37.2,85.0,103.0
jockey_w,荻野極,4,4,3,30,41,9.8,19.5,26.8,118.0,125.0
frame,1枠,11,14,13,166,204,5.4,12.3,18.6,60.0,72.0
frame,2枠,18,12,10,176,216,8.3,13.9,18.5,83.0,76.0
frame,3枠,12,18,16,179,225,5.3,13.3,20.4,65.0,79.0
frame,4枠,16,16,15,189,236,6.8,13.6,19.9,88.0,86.0
frame,5枠,18,23,18,192,251,7.2,16.3,23.5,87.0,103.0
frame,6枠,14,18,32,201,265,5.3,12.1,24.2,59.0,86.0
frame,7枠,29,26,17,238,310,9.4,17.7,23.2,100.0,89.0
frame,8枠,25,16,19,262,322,7.8,12.7,18.6,85.0,71.0
averunningstyle,逃げ,5,7,4,46,62,8.1,19.4,25.8,63.0,79.0
averunningstyle,先行,52,43,43,369,507,10.3,18.7,27.2,93.0,87.0
averunningstyle,差し,20,14,19,107,160,12.5,21.2,33.1,74.0,80.0
averunningstyle,追込,2,5,3,20,30,6.7,23.3,33.3,32.0,72.0
distance,500m以上延長,0,1,0,18,19,0.0,5.3,5.3,0.0,153.0
distance,300m-400m延長,4,6,4,127,141,2.8,7.1,9.9,96.0,101.0
distance,100m-200m延長,16,10,9,208,243,6.6,10.7,14.4,91.0,72.0
distance,距離変更なし,54,50,48,433,585,9.2,17.8,26.0,75.0,81.0
distance,100m-200m短縮,23,24,32,268,347,6.6,13.5,22.8,81.0,89.0
distance,300m-400m短縮,7,11,8,76,102,6.9,17.6,25.5,87.0,99.0
distance,500m以上短縮,0,2,2,22,26,0.0,7.7,15.4,0.0,82.0
surface,芝→芝,99,100,98,1004,1301,7.6,15.3,22.8,78.0,83.0
surface,ダ→芝,5,4,4,145,158,3.2,5.7,8.2,114.0,97.0
stable_trainer,美浦,82,82,88,1052,1304,6.3,12.6,19.3,80.0,86.0
stable_trainer,栗東,61,61,52,550,724,8.4,16.9,24.0,79.0,78.0
