course_name,fav_win_rate,longshot_place_rate,extreme_longshot_place_rate,upset_score,upset_rank
札幌競馬場,35.6,18.1,5.0,17.5,A
札幌競馬場 (芝),26.7,17.8,4.7,25.5,S
札幌ダートコース,35.6,18.1,5.0,17.5,A
札幌芝,26.7,17.8,4.7,25.5,S
札幌芝スプリント (A/Cコース),26.7,17.8,4.7,25.5,S
札幌芝1500m,40.8,15.7,5.2,10.3,B
札幌競馬場,35.6,18.1,5.0,17.5,A
札幌芝1800m,41.0,13.7,4.2,6.1,C
札幌芝2000m,33.3,17.4,6.4,21.9,S
札幌芝2600m,29.5,14.9,3.7,17.9,A
札幌芝2600m,29.5,14.9,3.7,17.9,A
札幌ダ1000m,35.6,18.1,5.0,17.5,A
札幌ダ1700m,34.7,17.2,4.4,16.3,A
札幌ダ2400m,10.0,15.0,3.8,37.6,S
札幌芝1200m,26.7,17.8,4.7,25.5,S
札幌ダート1000m,35.6,18.1,5.0,17.5,A
札幌ダート1700m,34.7,17.2,4.4,16.3,A
札幌ダート2400m,10.0,15.0,3.8,37.6,S
