factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,103,103,103,954,1263,8.2,16.3,24.5,79.0,80.0
father_w,エピファネイア,8,6,9,40,63,12.7,22.2,36.5,88.0,95.0
father_w,モーリス,8,8,7,37,60,13.3,26.7,38.3,75.0,95.0
father_w,キズナ,5,3,1,21,30,16.7,26.7,30.0,128.0,82.0
father_w,ハーツクライ,5,3,1,17,26,19.2,30.8,34.6,177.0,107.0
father_w,ロードカナロア,3,6,3,40,52,5.8,17.3,23.1,49.0,65.0
father_w,ドレフォン,3,2,3,22,30,10.0,16.7,26.7,100.0,66.0
father_w,リオンディーズ,3,1,2,20,26,11.5,15.4,23.1,141.0,113.0
father_w,サトノダイヤモンド,3,0,2,12,17,17.6,17.6,29.4,175.0,96.0
father_w,サトノクラウン,3,1,2,10,16,18.8,25.0,37.5,215.0,108.0
father_w,ミッキーアイル,3,0,0,6,9,33.3,33.3,33.3,305.0,99.0
jockey_w,横山武史,14,9,9,37,69,20.3,33.3,46.4,82.0,86.0
jockey_w,武豊,10,3,3,35,51,19.6,25.5,31.4,93.0,65.0
jockey_w,丹内祐次,8,8,10,60,86,9.3,18.6,30.2,109.0,99.0
jockey_w,横山和生,8,5,4,31,48,16.7,27.1,35.4,123.0,83.0
jockey_w,佐々木大輔,6,3,4,31,44,13.6,20.5,29.5,93.0,84.0
jockey_w,浜中俊,5,7,7,23,42,11.9,28.6,45.2,104.0,104.0
jockey_w,C.ルメール,5,6,4,17,32,15.6,34.4,46.9,53.0,70.0
jockey_w,菱田裕二,4,3,2,27,36,11.1,19.4,25.0,165.0,90.0
jockey_w,池添謙一,3,4,2,32,41,7.3,17.1,22.0,50.0,60.0
jockey_w,藤岡佑介,3,9,3,25,40,7.5,30.0,37.5,52.0,106.0
frame,1枠,7,10,8,76,101,6.9,16.8,24.8,62.0,85.0
frame,2枠,9,9,9,75,102,8.8,17.6,26.5,86.0,81.0
frame,3枠,14,13,8,121,156,9.0,17.3,22.4,86.0,77.0
frame,4枠,13,11,17,123,164,7.9,14.6,25.0,77.0,81.0
frame,5枠,14,20,9,132,175,8.0,19.4,24.6,80.0,81.0
frame,6枠,18,14,18,133,183,9.8,17.5,27.3,89.0,87.0
frame,7枠,16,12,16,144,188,8.5,14.9,23.4,86.0,77.0
frame,8枠,12,14,18,150,194,6.2,13.4,22.7,65.0,74.0
averunningstyle,逃げ,8,5,2,37,52,15.4,25.0,28.8,125.0,95.0
averunningstyle,先行,47,37,32,314,430,10.9,19.5,27.0,83.0,72.0
averunningstyle,差し,12,13,13,49,87,13.8,28.7,43.7,71.0,93.0
averunningstyle,追込,1,0,1,3,5,20.0,20.0,40.0,106.0,100.0
distance,500m以上延長,0,0,1,11,12,0.0,0.0,8.3,0.0,182.0
distance,300m-400m延長,9,22,11,201,243,3.7,12.8,17.3,46.0,69.0
distance,100m-200m延長,18,7,15,90,130,13.8,19.2,30.8,131.0,106.0
distance,距離変更なし,24,24,19,158,225,10.7,21.3,29.8,83.0,76.0
distance,100m-200m短縮,11,14,14,123,162,6.8,15.4,24.1,68.0,87.0
distance,300m-400m短縮,19,8,16,141,184,10.3,14.7,23.4,87.0,72.0
distance,500m以上短縮,2,7,6,51,66,3.0,13.6,22.7,45.0,85.0
surface,芝→芝,81,81,77,673,912,8.9,17.8,26.2,80.0,81.0
surface,ダ→芝,2,1,5,102,110,1.8,2.7,7.3,53.0,51.0
stable_trainer,美浦,45,55,47,462,609,7.4,16.4,24.1,70.0,82.0
stable_trainer,栗東,57,46,55,474,632,9.0,16.3,25.0,87.0,78.0
