factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,188,189,187,2191,2755,6.8,13.7,20.5,80.0,82.0
father_w,キングカメハメハ,20,13,9,67,109,18.3,30.3,38.5,139.0,103.0
father_w,ホッコータルマエ,9,7,12,67,95,9.5,16.8,29.5,103.0,101.0
father_w,キズナ,9,7,8,63,87,10.3,18.4,27.6,87.0,92.0
father_w,ドレフォン,8,3,5,43,59,13.6,18.6,27.1,116.0,100.0
father_w,オルフェーヴル,7,4,6,58,75,9.3,14.7,22.7,92.0,78.0
father_w,ディープインパクト,7,8,3,47,65,10.8,23.1,27.7,81.0,76.0
father_w,リアルスティール,7,7,0,23,37,18.9,37.8,37.8,127.0,103.0
father_w,キタサンブラック,5,2,3,25,35,14.3,20.0,28.6,131.0,96.0
father_w,ドゥラメンテ,4,3,4,37,48,8.3,14.6,22.9,77.0,59.0
father_w,リオンディーズ,4,8,4,24,40,10.0,30.0,40.0,71.0,102.0
jockey_w,C.ルメール,20,14,8,34,76,26.3,44.7,55.3,89.0,91.0
jockey_w,戸崎圭太,17,17,9,74,117,14.5,29.1,36.8,76.0,73.0
jockey_w,木幡巧也,12,8,8,94,122,9.8,16.4,23.0,175.0,106.0
jockey_w,菅原明良,9,8,6,80,103,8.7,16.5,22.3,88.0,75.0
jockey_w,横山武史,9,9,10,56,84,10.7,21.4,33.3,59.0,74.0
jockey_w,大野拓弥,6,11,8,74,99,6.1,17.2,25.3,68.0,102.0
jockey_w,田辺裕信,6,7,4,70,87,6.9,14.9,19.5,65.0,70.0
jockey_w,原優介,6,3,6,69,84,7.1,10.7,17.9,137.0,104.0
jockey_w,吉田豊,6,2,4,63,75,8.0,10.7,16.0,147.0,89.0
jockey_w,三浦皇成,5,7,11,50,73,6.8,16.4,31.5,62.0,106.0
frame,1枠,17,12,24,245,298,5.7,9.7,17.8,79.0,77.0
frame,2枠,18,21,18,256,313,5.8,12.5,18.2,73.0,83.0
frame,3枠,30,29,21,249,329,9.1,17.9,24.3,95.0,92.0
frame,4枠,21,28,21,273,343,6.1,14.3,20.4,70.0,85.0
frame,5枠,27,27,19,284,357,7.6,15.1,20.4,84.0,76.0
frame,6枠,29,24,32,284,369,7.9,14.4,23.0,86.0,88.0
frame,7枠,22,22,24,304,372,5.9,11.8,18.3,65.0,69.0
frame,8枠,24,26,28,296,374,6.4,13.4,20.9,88.0,86.0
averunningstyle,逃げ,8,6,6,41,61,13.1,23.0,32.8,93.0,88.0
averunningstyle,先行,81,85,61,598,825,9.8,20.1,27.5,85.0,88.0
averunningstyle,差し,37,33,28,196,294,12.6,23.8,33.3,78.0,86.0
averunningstyle,追込,1,1,4,9,15,6.7,13.3,40.0,53.0,119.0
distance,500m以上延長,6,7,13,168,194,3.1,6.7,13.4,62.0,84.0
distance,300m-400m延長,72,69,65,956,1162,6.2,12.1,17.7,84.0,79.0
distance,100m-200m延長,24,24,19,269,336,7.1,14.3,19.9,79.0,83.0
distance,距離変更なし,69,66,64,519,718,9.6,18.8,27.7,81.0,85.0
distance,100m-200m短縮,1,3,5,39,48,2.1,8.3,18.8,30.0,75.0
distance,300m-400m短縮,14,20,20,195,249,5.6,13.7,21.7,78.0,84.0
distance,500m以上短縮,1,0,0,39,40,2.5,2.5,2.5,67.0,31.0
surface,ダ→ダ,179,174,170,1963,2486,7.2,14.2,21.0,82.0,82.0
surface,芝→ダ,8,15,16,214,253,3.2,9.1,15.4,50.0,78.0
stable_trainer,美浦,136,145,141,1715,2137,6.4,13.1,19.7,79.0,81.0
stable_trainer,栗東,52,44,46,476,618,8.4,15.5,23.0,84.0,85.0
