factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,263,265,263,3063,3854,6.8,13.7,20.5,81.0,81.0
father_w,ロードカナロア,25,21,13,152,211,11.8,21.8,28.0,103.0,82.0
father_w,エピファネイア,13,18,8,90,129,10.1,24.0,30.2,84.0,98.0
father_w,イスラボニータ,12,9,5,57,83,14.5,25.3,31.3,138.0,96.0
father_w,モーリス,10,10,16,101,137,7.3,14.6,26.3,69.0,76.0
father_w,ビッグアーサー,8,4,2,59,73,11.0,16.4,19.2,111.0,79.0
father_w,ドレフォン,7,5,4,54,70,10.0,17.1,22.9,86.0,77.0
father_w,リオンディーズ,7,4,7,49,67,10.4,16.4,26.9,80.0,73.0
father_w,ハーツクライ,6,8,3,50,67,9.0,20.9,25.4,63.0,73.0
father_w,ディープインパクト,6,7,9,44,66,9.1,19.7,33.3,72.0,99.0
father_w,キタサンブラック,6,3,1,29,39,15.4,23.1,25.6,104.0,83.0
jockey_w,C.ルメール,33,28,19,62,142,23.2,43.0,56.3,71.0,87.0
jockey_w,戸崎圭太,28,29,19,97,173,16.2,32.9,43.9,82.0,83.0
jockey_w,横山武史,20,14,20,80,134,14.9,25.4,40.3,82.0,83.0
jockey_w,菅原明良,12,9,14,107,142,8.5,14.8,24.6,91.0,79.0
jockey_w,田辺裕信,10,11,12,71,104,9.6,20.2,31.7,83.0,93.0
jockey_w,三浦皇成,9,17,13,96,135,6.7,19.3,28.9,56.0,87.0
jockey_w,横山和生,9,9,6,52,76,11.8,23.7,31.6,108.0,93.0
jockey_w,M.デムーロ,9,11,12,38,70,12.9,28.6,45.7,89.0,99.0
jockey_w,石川裕紀人,8,1,10,92,111,7.2,8.1,17.1,119.0,89.0
jockey_w,津村明秀,7,9,8,102,126,5.6,12.7,19.0,61.0,67.0
frame,1枠,23,21,23,332,399,5.8,11.0,16.8,63.0,69.0
frame,2枠,18,29,25,345,417,4.3,11.3,17.3,64.0,74.0
frame,3枠,29,26,27,356,438,6.6,12.6,18.7,80.0,73.0
frame,4枠,24,39,32,360,455,5.3,13.8,20.9,60.0,79.0
frame,5枠,40,24,42,371,477,8.4,13.4,22.2,87.0,84.0
frame,6枠,44,37,24,384,489,9.0,16.6,21.5,102.0,85.0
frame,7枠,38,45,44,453,580,6.6,14.3,21.9,84.0,83.0
frame,8枠,47,44,46,462,599,7.8,15.2,22.9,92.0,95.0
averunningstyle,逃げ,13,11,5,126,155,8.4,15.5,18.7,78.0,71.0
averunningstyle,先行,112,125,121,1024,1382,8.1,17.1,25.9,74.0,83.0
averunningstyle,差し,45,34,35,207,321,14.0,24.6,35.5,92.0,85.0
averunningstyle,追込,4,1,4,19,28,14.3,17.9,32.1,77.0,87.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,1,0,0,51,52,1.9,1.9,1.9,118.0,70.0
distance,100m-200m延長,38,38,37,674,787,4.8,9.7,14.4,89.0,78.0
distance,距離変更なし,91,103,107,975,1276,7.1,15.2,23.6,69.0,79.0
distance,100m-200m短縮,82,72,69,624,847,9.7,18.2,26.3,88.0,86.0
distance,300m-400m短縮,9,9,6,150,174,5.2,10.3,13.8,135.0,93.0
distance,500m以上短縮,1,2,4,49,56,1.8,5.4,12.5,56.0,111.0
surface,芝→芝,208,211,214,2132,2765,7.5,15.2,22.9,78.0,82.0
surface,ダ→芝,14,13,9,389,425,3.3,6.4,8.5,128.0,83.0
stable_trainer,美浦,206,199,210,2567,3182,6.5,12.7,19.3,80.0,81.0
stable_trainer,栗東,57,66,53,487,663,8.6,18.6,26.5,82.0,84.0
