場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
中山,ダート,1800,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,542,48.0,20.7,156,41.7,20.3,72,68
中山,ダート,1800,前走着順が3着以内,騎手が戸崎圭太,,買い,102,57.8,20.7,25,40.0,20.3,80,44
中山,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,750,46.9,20.7,203,44.8,20.3,72,70
中山,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,534,50.9,19.3,116,55.2,19.2,87,77
中山,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,657,49.8,19.3,142,54.2,19.2,83,72
中山,ダート,1200,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,417,50.6,19.3,75,48.0,19.2,88,84
東京,ダート,1600,前走着順が3着以内,調教師の所属が美浦,騎手がルメール,買い,106,67.9,20.3,20,80.0,19.9,90,116
東京,ダート,1600,前走着順が9着以内,調教師の所属が美浦,騎手がルメール,買い,165,61.8,20.3,28,82.1,19.9,81,124
東京,ダート,1600,調教師の所属が美浦,馬齢が4歳以下,騎手がルメール,買い,178,60.1,20.3,31,80.6,19.9,78,112
東京,ダート,1400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,546,40.7,19.3,201,43.8,19.5,61,78
東京,ダート,1400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,784,39.9,19.3,247,43.7,19.5,63,87
東京,ダート,1400,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,647,39.3,19.3,216,41.7,19.5,62,82
阪神,ダート,1800,前走着順が5着以内,馬齢が3歳以下,騎手が松山弘平,買い,78,61.5,24.0,27,44.4,22.9,145,64
阪神,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,枠番が6~8枠,買い,511,48.9,24.0,139,46.8,22.9,84,91
阪神,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,568,48.6,24.0,173,48.0,22.9,76,70
中京,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,413,49.4,23.6,84,42.9,21.5,71,83
