場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
中山,ダート,1800,馬齢が6歳以上,,,消し,679,11.5,20.7,154,9.7,20.3,47,48
東京,ダート,1600,騎手が木幡巧也,,,消し,242,12.4,20.3,109,16.5,19.9,54,138
東京,ダート,1600,馬齢が5歳以上,,,消し,1261,13.6,20.3,1073,17.2,19.9,85,74
東京,ダート,1400,馬齢が6歳以上,,,消し,462,7.1,19.3,735,17.4,19.5,13,51
阪神,ダート,1800,調教師の所属が美浦,,,消し,313,10.5,24.0,70,5.7,22.9,31,3
阪神,ダート,1800,馬齢が6歳以上,,,消し,372,11.8,24.0,356,18.8,22.9,15,72
阪神,ダート,1800,馬齢が5歳以上,,,消し,934,14.8,24.0,495,17.4,22.9,49,66
中京,ダート,1800,調教師の所属が美浦,,,消し,836,15.2,23.6,220,16.4,21.5,83,27
中京,ダート,1800,騎手が小沢大仁,,,消し,138,14.5,23.6,41,14.6,21.5,44,0
中京,ダート,1800,馬齢が6歳以上,,,消し,332,16.0,23.6,91,7.7,21.5,53,32
阪神,ダート,1400,馬齢が6歳以上,,,消し,456,13.6,20.5,221,15.8,19.9,68,23
東京,芝,1600,騎手が木幡巧也,,,消し,115,11.3,21.9,40,7.5,21.7,39,0
小倉,ダート,1700,調教師の所属が美浦,,,消し,661,11.5,20.4,143,18.2,20.6,87,81
小倉,ダート,1700,馬齢が6歳以上,,,消し,403,12.7,20.4,130,12.3,20.6,28,95
中京,ダート,1400,馬齢が6歳以上,,,消し,374,11.5,20.3,61,13.1,19.5,122,56
中京,ダート,1400,調教師の所属が美浦,,,消し,931,13.3,20.3,221,15.4,19.5,63,58
中京,ダート,1400,騎手が永島まな,,,消し,92,10.9,20.3,26,15.4,19.5,23,0
京都,ダート,1800,馬齢が6歳以上,,,消し,185,12.4,22.9,452,20.6,22.9,104,65
京都,ダート,1800,馬齢が5歳以上,,,消し,476,14.1,22.9,598,19.4,22.9,94,60
阪神,ダート,1200,馬齢が6歳以上,,,消し,381,12.1,20.5,179,15.6,20.0,20,39
東京,芝,1400,騎手が木幡巧也,,,消し,109,10.1,20.4,42,11.9,20.3,26,40
東京,芝,1800,馬齢が5歳以上,,,消し,457,15.1,23.4,437,19.0,22.1,28,95
東京,芝,1800,騎手が柴田大知,,,消し,97,12.4,23.4,17,0.0,22.1,8,0
福島,ダート,1700,馬齢が6歳以上,,,消し,221,10.9,20.9,213,17.8,20.4,28,30
福島,ダート,1700,騎手が木幡巧也,,,消し,62,9.7,20.9,15,6.7,20.4,200,471
中京,ダート,1200,調教師の所属が美浦,,,消し,647,12.8,20.3,122,12.3,19.8,52,9
阪神,芝,1600,馬齢が6歳以上,,,消し,238,10.9,21.9,182,18.1,21.0,16,86
中京,芝,2000,馬齢が6歳以上,,,消し,248,10.5,24.0,46,17.4,22.1,121,219
中京,芝,2000,調教師の所属が美浦,,,消し,462,12.3,24.0,115,14.8,22.1,62,117
中京,芝,2000,馬齢が5歳以上,,,消し,587,16.9,24.0,119,19.3,22.1,109,119
中山,芝,2000,馬齢が6歳以上,,,消し,140,11.4,21.2,52,9.6,20.2,11,39
京都,ダート,1400,馬齢が6歳以上,,,消し,153,3.9,20.6,311,17.7,20.5,9,84
京都,ダート,1400,馬齢が5歳以上,,,消し,385,11.9,20.6,422,16.8,20.5,39,125
札幌,ダート,1700,騎手が黛弘人,,,消し,86,11.6,22.8,15,20.0,22.7,28,0
中京,芝,1600,馬齢が6歳以上,,,消し,168,11.9,22.6,58,17.2,21.4,16,107
中京,芝,1600,調教師の所属が美浦,,,消し,375,14.9,22.6,115,11.3,21.4,76,24
小倉,芝,1800,馬齢が6歳以上,,,消し,233,11.6,22.5,46,15.2,21.7,71,53
小倉,芝,1800,調教師の所属が美浦,,,消し,493,15.2,22.5,97,14.4,21.7,48,36
小倉,芝,1800,馬齢が5歳以上,,,消し,545,15.8,22.5,100,18.0,21.7,77,60
福島,ダート,1150,馬齢が6歳以上,,,消し,141,11.3,20.0,140,17.9,20.0,41,85
福島,ダート,1150,馬齢が5歳以上,,,消し,407,13.0,20.0,228,16.7,20.0,48,101
京都,ダート,1200,馬齢が6歳以上,,,消し,189,8.5,20.5,263,17.9,20.4,39,133
小倉,芝,2000,調教師の所属が美浦,,,消し,457,14.0,22.6,122,17.2,21.1,36,81
東京,芝,2000,馬齢が6歳以上,,,消し,159,10.1,25.3,198,21.7,24.6,62,31
東京,芝,2000,馬齢が5歳以上,,,消し,387,15.5,25.3,245,19.6,24.6,46,45
東京,芝,2000,騎手が柴田大知,,,消し,63,12.7,25.3,21,9.5,24.6,46,0
函館,ダート,1700,騎手が古川吉洋,,,消し,57,12.3,24.0,32,18.8,24.6,216,11
中山,芝,1200,馬齢が6歳以上,,,消し,298,12.4,21.0,87,11.5,21.2,35,68
中京,芝,1400,馬齢が6歳以上,,,消し,142,9.2,20.2,42,14.3,20.2,34,0
京都,芝,1600,馬齢が6歳以上,,,消し,113,9.7,21.9,267,19.1,22.2,55,144
