場,芝ダ,距離,条件1,条件2,条件3,種別,点数
中山,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中山,ダート,1800,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,3.0
中山,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中山,ダート,1800,馬齢が6歳以上,,,消し,2.36
中山,ダート,1800,騎手が永野猛蔵,,,消し,2.4
中山,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中山,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中山,ダート,1200,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,3.0
東京,ダート,1600,前走着順が9着以内,調教師の所属が美浦,騎手がルメール,買い,3.0
東京,ダート,1600,前走着順が3着以内,調教師の所属が美浦,騎手がルメール,買い,3.0
東京,ダート,1600,前走着順が9着以内,馬齢が4歳以下,騎手がルメール,買い,3.0
東京,ダート,1600,馬齢が6歳以上,,,消し,3.0
東京,ダート,1600,騎手が木幡巧也,,,消し,1.66
阪神,ダート,1800,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,3.0
阪神,ダート,1800,出走頭数が14頭以下,前走着順が3着以内,馬齢が3歳以下,買い,3.0
阪神,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
阪神,ダート,1800,調教師の所属が美浦,,,消し,3.0
阪神,ダート,1800,馬齢が6歳以上,,,消し,2.52
阪神,ダート,1800,馬齢が5歳以上,,,消し,1.6
東京,ダート,1400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
東京,ダート,1400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,3.0
東京,ダート,1400,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
東京,ダート,1400,馬齢が6歳以上,,,消し,3.0
東京,ダート,1400,馬齢が5歳以上,,,消し,2.38
小倉,芝,1200,前走着順が3着以内,枠番が6~8枠,馬齢が4歳以下,買い,3.0
小倉,芝,1200,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,3.0
小倉,芝,1200,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,3.0
